"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"Raw0",0.0110190404424265,0.0974029404466472,-0.103942200632921,0.0148258004300059,0.0108804258282288,0.0155428278180171,-0.0150315429641431,-0.0163638751434158,-0.00329889978199933,-0.030899326092597,0.0699953446489241,-0.0377704273722853
"Raw1",-0.0140123121046465,-0.088730609536981,0.0844573865784269,0.00277739855946191,-0.0364571120160101,0.0489732557761081,-0.0447387032640733,0.0143070994097938,-0.0710522033823326,-0.000316161407318943,0.0466156998127951,0.0401095707127383
"Raw2",0.0228924822690741,0.00251138406566219,0.0176189674704571,-0.0156101646087249,0.0266920134703587,-0.0436865257540813,0.0753123936224017,-0.015198184576531,0.00594546083179241,-0.0517001171278328,0.0259143509713116,0.0189804808108055
"Raw3",-0.0887316719480077,-0.0216705191462371,-0.00700903354506742,-0.0132460762554896,0.0283924816808465,0.026412369118646,-0.0106752101440324,-0.0382043761787424,0.0412631641027916,-0.00675624946428333,-0.0109525419436354,-0.00318135477959128
"Raw4",0.0491119706823666,0.0163951247256372,0.00640008699728692,-0.0418814590442661,0.0364613799916989,-0.0165028769636011,0.0695981485294046,0.0389121149024552,0.0248108114064795,-0.0712139706667175,-0.00251236529106297,-0.092831646354054
"Raw5",-0.0391973914094156,-0.0616867302388476,0.0597316576945552,-0.0385985488304364,0.0150378863991325,0.047153079864214,-0.019613288055437,0.0450027888592814,0.000516645484048944,-0.028473714811701,0.0669681189873094,-0.00781825466000375
"Raw6",0.0986242780475035,0.0181936606926662,-0.0057024248959731,0.076558026731438,-0.0620108181471392,0.0346347065065863,0.0162911310987697,-0.0719848446432886,0.0316622877235491,0.00481028377228937,-0.0111526654506235,-0.074915567501089
"Raw7",0.0291079960248335,-0.068128271537494,0.0484815073559612,0.00343200904569497,-0.00177070668618388,0.0885255551602698,-0.112719972782627,-0.0144953404089275,0.0335992777992288,-0.0620318104826802,0.0444886125560074,0.0187089376311221
"Raw8",-0.0561488997194902,0.0201268377742108,-0.0563261788195672,0.0996197879938727,-0.0888227714886054,0.0176524904894094,-0.025877341992297,-0.0421030042780386,0.0244224286770426,-0.0247052778828198,0.00339773715244649,-0.015742549959108
"Raw9",-0.0576204034510486,-0.0411414118346277,0.0128410651768467,0.0300207632867126,-0.0571138018569292,-0.000794122703145867,-0.0252953363300144,0.0129396264366089,-0.0562897092587458,-0.028014197421622,0.0202314200615181,0.0446260811114641
"Raw10",-0.0126105898440948,0.114675001292614,-0.110003188933259,0.0168237682453007,0.0125997405209401,-0.0573874120953487,0.0441073465983676,-0.0886368361037124,0.0455619410112942,-0.0170568361172619,-0.0115190446353462,0.0186427924192474
"Raw11",-0.0531776200192556,-0.0113890788759107,0.0083067201656376,-0.0111091873464044,0.0137947166821946,-0.015474463254971,0.0229349904360909,-0.0188683240272605,0.0729181777484501,0.00011051482659636,-0.0104964413387117,-0.0298865924478512
"Raw12",-0.021424690859769,0.0139628984608729,-0.0189691920789872,0.00863074214749637,0.00562908809189498,0.031830249479165,-0.0132076546730613,0.0129393936573238,-0.0189689762917379,-0.0571799571584822,0.0386564230821596,-0.0285448867389883
"Raw13",-0.134172422372182,0.0698924834546871,-0.0961893886538235,-0.00296956755775732,0.0174686773616438,-0.0200071388475085,-0.0307706568941382,-0.00212003289206312,0.0225572256127915,0.0386174501450062,-0.0536080095748207,0.0405767471932276
"Raw14",-0.020729206324492,0.067754011357593,-0.0523355325446784,-0.0787298963586823,0.0881191382733102,-0.0475122462771072,0.0573168770441276,0.0197857031142976,-0.00368123502186277,0.0512847586288077,-0.0235153615714696,-0.0153797596861954
"Raw15",-0.0444919371349072,-0.0357300797480028,0.00119289283534044,-0.0173535007690314,0.0109338707227808,0.0718139832335415,-0.0705312410022624,-0.00730188036686195,-0.0307595856104674,-0.0834498943469208,0.0363916724316508,-0.0457096051600692
"Raw16",-0.0384583041396164,-0.00513018772985337,0.00171888747914518,-0.0456909046307562,0.0476373134271068,0.00813564682586477,0.0188833444703161,-0.0332894451285509,0.00570576701961403,0.0698344484463535,-0.0281182276439459,-0.0408733391606739
"Raw17",-0.0299251258368027,0.0427656549533685,-0.0382287731904965,0.032834681773824,-0.0179604176999487,-0.0951971055252694,0.0963045091252423,-0.0426025169169321,-0.00311380658308747,0.00299060111530008,-0.034712066427614,0.0260793565977435
"Raw18",0.010959429183122,0.0183827585034307,0.000206699737998026,0.0235625879900063,-0.0188387261765367,-0.0921166737134925,0.0909596092976168,-0.00452602751018504,-0.00620107695777033,0.00463124547952623,0.0153496584853719,0.0525014211790899
"Raw19",0.0254968289907895,0.0312015110860224,-0.0405596008334355,0.00889889646291221,-0.0167796339251407,0.057681132743281,-0.00560033126543588,0.0625005856961758,-0.0615330816979658,0.0162368503719565,-0.0294875011325771,-0.0714729150083218
"Raw20",-0.0477143273612582,-0.000278319307069709,-0.00557447880520536,-0.063678670368194,0.0622950854542366,0.0526549225833332,-0.0454326599412187,0.0327755250647177,-0.0174787965282698,0.030531203470593,0.00249520808804322,-0.00225787197441042
"Raw21",0.0207152105163559,0.0228992346421249,-0.0343211493640111,0.0627283750916078,-0.0250477859964617,-0.0122539582272244,-0.0207600320318252,-0.120728365788597,0.0967172445144672,0.0309662161381906,0.0148156306655124,0.0745913041869175
"Raw22",0.0192077287556784,0.0379141588416883,-0.042053445473388,0.0250186740212263,-0.0207216005876713,0.0365296890384675,-0.0255938249526136,-0.00517975884326824,-0.0180294789232952,0.062688045795574,-0.0144687134610811,0.0132521381781032
"Raw23",0.0692892639688843,-0.0400957517046177,0.0429330792207225,-0.0184901588748007,0.00393916684502848,0.0202132342664155,0.0102517327991861,-0.0121692090594731,-0.013927954492021,-0.0102382118169093,-0.0014731251946845,-0.0207332933672902
"Raw24",0.0255849174126102,-0.0121163960759167,0.0354187963404543,-0.0353029618974784,0.0205041249083444,-0.0452422503480479,0.0177254936477643,0.120392728239011,-0.0130224887206303,-0.0690988465241129,0.036446656908557,0.0417826817548053
"Raw25",0.028390317014015,0.00660275553351639,0.0208056450178937,-0.0950665990110203,0.0836662673945135,-0.0512145465224458,0.00292992029359873,0.100883618247054,-0.0335476978425416,0.0109299967251809,-0.0384525863007994,0.0773718974552671
"Raw26",-0.00371126050565191,-0.0043862979370148,-0.0272303733453024,0.0122085866616717,-0.0102860744731475,0.112023319226474,-0.0596465837760543,-0.0461193563562693,0.0560557837800051,0.0718445953779975,-0.0308083029187084,-0.0779609493258723
"Raw27",-0.0086874001693151,-0.0251499101570917,0.0134543353427869,0.0256457502596934,-0.0196300296974047,0.0305767051837901,-0.0469352589315897,-0.0439731438886143,0.0302887937368391,0.0153235957562371,-0.0263627556029087,0.0407744181563482
"Raw28",-0.00507999019263807,0.0163210448588341,-0.0263559465864483,0.042040507857925,-0.0551100511050669,-0.00620330208577976,0.0311307770316733,0.0117093474084633,-0.0443693492768377,-0.00191331927601682,-0.00140190251852078,-0.0606603675638578
"Raw29",-0.00890726599956621,0.0632356002022164,-0.0742159288507623,0.027716659088293,-0.0130318951736392,-0.0050228909700813,-0.0279772757460968,-0.0138597582526746,0.0210858593347579,-0.0079784539430456,0.0311011976439351,0.00722044415688706
"Raw30",-0.0152484118210858,-0.0338848373398002,0.0153089712739708,0.00191250462491139,-0.00408061416894434,0.00634386355763609,-0.0220037255564896,0.00963955723670072,0.0471933516628301,0.0402207724019607,-0.0952187321128793,0.000344821419039584
"Raw31",-0.0553436320240999,0.0593895546184203,-0.0711718086592957,-0.0280054533758965,0.0471196909581037,-0.0508823815730542,0.063179522020072,0.00954360951987443,0.0379768910881693,-0.0575497280801433,0.00358168532088046,-0.0702934429079887
"Raw32",0.00600891867725092,-0.0418371839046604,0.0329369437605276,0.0612284095904242,-0.0483098650299514,0.0361945681668842,-0.0183490572616732,-0.039092096273495,0.0801849995875723,0.100941804836816,-0.0469803879534293,-0.0242055361911797
"Raw33",-0.0960388267822225,-0.00973062101681655,0.000180960287861139,-0.0612050129498349,0.0566867082824341,0.0119795432890131,-0.0266657604639518,0.00462810933787134,-0.0125687542626721,-0.0115034476213573,-0.00412383015926276,0.00404982817470997
"Raw34",-0.0020680534402546,-0.0272712822950259,0.0295864465349672,0.011569828413598,-0.0201388447102856,0.00353771000918469,-0.0448682678714487,-0.0532496986965168,0.0660052550849687,0.0191618265882732,-0.0198413717547935,0.0818844479693622
"Raw35",0.0214749696711292,-0.0230838534670845,0.0297401363997312,-0.00831474065389075,0.0267483873454528,0.00906892393766542,0.0140904650528067,-0.0545426304921073,0.0867455004461422,0.0522682173029396,-0.0105614533212331,0.00564844063214464
"Raw36",0.00521497044006593,0.00543624057595531,-0.00301540136487646,0.0972680384249246,-0.105234758869411,-0.0210879844732418,-0.0149119768063232,0.023385299862587,-0.0471699859935995,-0.00673667104315504,-0.00164087423744405,0.070175529019916
"Raw37",-0.0345778571509654,0.00750587295897443,-0.0103477791807757,0.0339681932110129,-0.036823212740679,-0.0138732198696488,0.0234863019496526,0.036814792813087,-0.0224227911955619,-0.0494414636712053,0.076805339723426,-0.02331171939425
"Raw38",0.020131181294412,0.0567651003224352,-0.0461452703902231,-0.0272269803561495,0.022240612720461,-0.0475503241188168,0.0478240912294259,0.0127196256818284,0.0138071814421896,-0.0851070375578054,0.0614494376137762,0.0149732711890851
"Raw39",-0.0326845582324026,-0.00673286794997875,-0.0229100096172106,0.0143453364715931,-0.01376332758694,-0.00847377392665742,-0.00476970611553863,-0.0315448419720514,0.0140788536258316,0.00673272055804131,-0.0213589249825515,0.0193010000447584
"Raw40",-0.0822618728615079,0.0412824698762898,-0.0709242130432334,0.0490663622050202,-0.0540295535154436,0.0221770378248974,-0.0314287253158167,0.0315126048590263,-0.0724749986497739,0.00629469581638829,0.00352938288965058,0.0032145851553193
"Raw41",0.0212195798401735,-0.0442951773361416,0.0440351984941042,-0.0155047332688157,0.00769654931604538,0.0101007535285602,-0.0516424696555983,0.0468636602529562,-0.0161374256215794,-0.0446073606206413,0.0151803286314776,0.0737342913326352
"Raw42",-0.0883261370571704,0.0194402781066297,-0.0373725150532936,-0.0362055904016441,0.0461495772173144,-0.0139274916577524,0.0162132700398003,0.00183247525623119,0.00631167820116851,-0.0319000652496344,0.0253309409926613,0.00243121028612103
"Raw43",0.0314585596724032,0.0692361849948815,-0.057194621963317,-0.0109947354029954,0.0298956550565639,-0.056331868684273,0.0845729931617274,-0.0288524845577695,-0.023580289103361,-0.0582282680723785,0.0197093486733608,-0.0885946221700509
"Raw44",0.0707909331781117,-0.00186578297809449,0.0107752308733073,0.0472446439740938,-0.0292823478593111,-0.0265629565314645,0.0612608111106722,-0.0919149807834091,0.0468012382305235,-0.0168551927670874,0.0589245130539508,-0.0479384792875598
"Raw45",-0.0020425394005678,0.015874006882067,-0.00560244323328552,0.0115034726645196,-0.00715186183487426,-0.0307093377073391,0.0257637578330135,-0.00286975797104362,0.00800491769892339,-0.0178503665727119,0.00522740473761185,0.0512978284479635
"Raw46",0.0350325942374768,0.0337497723310903,-0.028946292968533,0.0357851328575729,-0.00572269289762079,0.0303377887246262,-0.0590161181037752,-0.0762895525767488,0.0856741074045264,-0.00844210146717942,-0.0124499033765915,0.0336269539065135
"Raw47",0.0948953000915048,0.104674765600995,-0.0707059359173262,-0.0474842771855859,0.0784911801041237,-0.0196674577834717,-0.0377999949880848,-0.0113179722852015,0.0228390449650174,0.0257740482514257,-0.0451667236311559,0.0541039641990234
"Raw48",0.0233824408746629,-0.0619924372794805,0.0653740017541836,-0.0230415790019833,0.0043925296956305,0.0628981831871929,0.00497124170511246,-0.0220299306281951,-0.0343291447160457,0.0515718624904945,-0.0131266331656714,-0.0442647710867985
"Raw49",0.031584751048305,0.0179521878217734,-0.011140084049482,-0.00242798411022774,0.0168536147386995,0.0174440781082935,0.0219384450824438,-0.0378381934137537,0.00166172645474708,-0.0178046505685841,0.0715991163933772,-0.0422496504073145
"Raw50",-0.0368140598509951,0.0774063147615823,-0.083906169741886,-0.0351512355524968,0.0740573905557677,0.00550372970011488,-0.0218156971233614,-0.0426343867339894,0.0696969826462694,0.017166172255268,0.00684119744898829,0.0206407472169036
"Raw51",-0.0197138302610772,-0.0128938405231755,-0.00116771956602749,-0.0108799042502491,-0.00706382935927081,0.0381099381820412,-0.0645125720119424,0.0428003432858842,-0.0589899111543513,0.0175069622201476,-0.0305128814703842,0.0355741928877234
"Raw52",-0.0699833095046173,0.0151954901045515,-0.021379637159598,-0.04565708852739,0.0299891982101205,0.00959046678970207,0.00433813160363629,0.0950239730925826,-0.0684427672121273,0.0710996199174463,-0.0610377582838559,-0.0329262113666194
"Raw53",-0.0585944902149367,-0.0405626400607202,0.0259057453339429,0.000457556586776248,-0.0410678539852046,0.0161212767033919,-0.0174223191793796,0.0564925011937429,-0.0736827978038665,0.0874982390741564,-0.0758052983535824,0.0152968048195986
"Raw54",-0.0506988394195463,0.0517157709300414,-0.0480502367607917,-0.00595120926982229,-0.00202533405611523,-0.033332515503535,-0.00816845519225271,-0.0038715866505426,0.00724974409746895,0.0428440925607878,-0.0509750458251647,0.0471078831281652
"Raw55",0.00187112324074746,0.0380678036038375,-0.0188863947505658,-0.00468792091732536,0.012945918354347,-0.0382557504083364,0.00924896120332206,0.0371081585424708,-0.00709774577938659,0.00748761014978991,-0.0224117128363541,0.0341990939324854
