"V1","V2","V3","V4"
"Raw0",0.0110190404424265,0.101106479987995,-0.0422711469118318,-0.0373672731577225
"Raw1",-0.0140123121046465,-0.0877156394041611,-0.0245547704531867,0.0450903561058332
"Raw2",0.0228924822690741,-0.00512179035817821,0.0558015890999085,-0.0213082848791884
"Raw3",-0.0887316719480077,-0.0113295364161939,-0.0221758085661609,-0.0017219270759509
"Raw4",0.0491119706823666,0.00362934149716563,0.0174228606594283,-0.115308108478342
"Raw5",-0.0391973914094156,-0.0627903396984937,-0.0255286444526201,-0.00176558620300884
"Raw6",0.0986242780475035,0.0149016192428882,-0.0279102148686721,-0.0669203813921933
"Raw7",0.0291079960248335,-0.0678667792117619,-0.0786957080886835,0.0674562631956781
"Raw8",-0.0561488997194902,0.042186385642829,-0.0320613462192418,-0.00147772610054719
"Raw9",-0.0576204034510486,-0.0232599030627018,-0.000694620694787527,0.044225929986959
"Raw10",-0.0126105898440948,0.118057195132116,0.0310038949672393,-0.00940797400871098
"Raw11",-0.0531776200192556,-0.0110770694589356,0.0134609221061717,-0.0376093664979108
"Raw12",-0.021424690859769,0.0150843419055403,-0.0317637613379868,-0.0119196362399565
"Raw13",-0.134172422372182,0.0840690272399962,-0.0143215354988392,0.0392187727876227
"Raw14",-0.020729206324492,0.0642713465565895,0.0364657572863498,-0.0463526422467843
"Raw15",-0.0444919371349072,-0.028140342328733,-0.0799530299871329,-0.014505680182879
"Raw16",-0.0384583041396164,-0.00543675442331644,-0.00604644762060615,-0.0341489707577242
"Raw17",-0.0299251258368027,0.0467467056642652,0.0860898369369775,-0.0300771637499407
"Raw18",0.010959429183122,0.0174210392790959,0.0958533705673337,-0.00404503473846949
"Raw19",0.0254968289907895,0.0306919721276312,-0.0609897941974048,-0.0720392159564751
"Raw20",-0.0477143273612582,-0.00524835259910623,-0.0510757003497956,0.027904520188509
"Raw21",0.0207152105163559,0.0358656614706429,0.00226720461867336,0.0785905836214995
"Raw22",0.0192077287556784,0.0392403068624119,-0.0377975335122517,0.0253792784240237
"Raw23",0.0692892639688843,-0.0409994954324638,-0.00567473644613609,-0.0253635439425736
"Raw24",0.0255849174126102,-0.0220286841884262,0.0498798563577161,0.0276553232700132
"Raw25",0.028390317014015,-0.00764848076487844,0.0553850147072773,0.070807950121975
"Raw26",-0.00371126050565191,0.00434584808283479,-0.111885838422569,-0.0510967488866705
"Raw27",-0.0086874001693151,-0.017279541462192,-0.0262614927417919,0.061752817982453
"Raw28",-0.00507999019263807,0.0200495391342626,-0.000777867650372613,-0.07077038954523
"Raw29",-0.00890726599956621,0.0707551321881821,-0.0185934051037442,0.0177075100127686
"Raw30",-0.0152484118210858,-0.0281329097599429,-0.00891078332082413,0.0130475707753017
"Raw31",-0.0553436320240999,0.067095564761069,0.0263500028772218,-0.0921633821707032
"Raw32",0.00600891867725092,-0.0397832037166564,-0.0252200573541292,-0.0142470438244288
"Raw33",-0.0960388267822225,-0.00843620348207845,-0.0171388743909188,0.0156574789766568
"Raw34",-0.0020680534402546,-0.0253118999934772,0.00391157907498707,0.098183356080809
"Raw35",0.0214749696711292,-0.027649089953914,0.00278752870400748,-0.00847551433263348
"Raw36",0.00521497044006593,0.00678930893320688,0.0189894566225834,0.0674944174435435
"Raw37",-0.0345778571509654,0.0108414456534582,0.0127600061509963,-0.0375075919091157
"Raw38",0.020131181294412,0.0571881269693683,0.0362016171907266,-0.0165058550971501
"Raw39",-0.0326845582324026,0.0140280642907986,0.00197939511885847,0.0128934432636793
"Raw40",-0.0822618728615079,0.0549891914040385,-0.0390335836968472,0.0165766797765082
"Raw41",0.0212195798401735,-0.0478093967753628,-0.00414789380108377,0.088914731255452
"Raw42",-0.0883261370571704,0.0299589970567874,0.00448532237424022,-0.0122219887485243
"Raw43",0.0314585596724032,0.0693419944008943,0.0415299427651673,-0.114740876767607
"Raw44",0.0707909331781117,-0.00110196325469642,0.0322053684131069,-0.069734287474216
"Raw45",-0.0020425394005678,0.0132347695231672,0.0327060383884913,0.0303386608294966
"Raw46",0.0350325942374768,0.0298970126152184,-0.0374539292474244,0.0583798848952428
"Raw47",0.0948953000915048,0.0861156172895332,-0.00204150523213667,0.0725045777332089
"Raw48",0.0233824408746629,-0.0666745896179499,-0.0365750827320714,-0.0467399633306823
"Raw49",0.031584751048305,0.0125331323513061,-0.0156733258055264,-0.0511223476532514
"Raw50",-0.0368140598509951,0.076529630779144,-0.0275613799003238,0.0183839666575281
"Raw51",-0.0197138302610772,-0.00946771448247652,-0.0390320015266263,0.0641871903404298
"Raw52",-0.0699833095046173,0.01301558910027,-0.0140934927910964,-0.0268097350781457
"Raw53",-0.0585944902149367,-0.0327935540261266,-0.00918618729872151,0.0142867225717605
"Raw54",-0.0506988394195463,0.0517507825196288,0.0189232432076391,0.0470707444140654
"Raw55",0.00187112324074746,0.0293525158383098,0.0325760839878021,0.031614741039648
"Raw56",-0.0119004638973427,0.0492381425418297,-0.0835816245303467,0.0025250584357617
"Raw57",0.0816618094804261,0.0301997453802681,-0.0188452585149383,-0.0497971313721897
"Raw58",0.0153739432830615,-0.0104883589154035,0.0203292518082169,0.0309290512441834
"Raw59",0.00173943268761848,0.074921457201353,-0.0241599599961816,-0.0441970305178033
"Raw60",-0.0136590424292622,-0.0586221584446333,0.0393309729959829,0.0135112837014092
"Raw61",0.0582146345701,-0.0248606244987174,0.00223689676911631,-0.00405644582996295
