"V1","V2","V3","V4","V5","V6"
"C113",0.0377964473009227,0.0412461511135604,-0.00553883466704151,0,0,0
"C114",0.0377964473009227,0.0490646089078015,-0.0313718807406243,0,0,0
"C115",0.0377964473009227,0.0549027055040781,-0.064783090812072,0,0,0
"C116",0.0377964473009227,-0.0308868765847563,0,-0.0231272799522719,0,0.00134180722550845
"C117",0.0377964473009227,0.0310347198640148,0.0276857750813294,0,0,0
"C118",0.0377964473009227,0.0446885472297404,0.00119792589753371,0,0,0
"C119",0.0377964473009227,-0.0310429633998134,0,-0.00907819761104177,0,0.133525308653946
"C120",0.0377964473009227,-0.0552394220084662,0,0.0339477055690914,0.170168370838446,0
"C121",0.0377964473009227,0.000291615194735678,0.0668420136859898,0,0,0
"C122",0.0377964473009227,0.00572618366776808,0.0515559431376978,0,0,0
"C123",0.0377964473009227,0.0344965567649953,-0.00481821523001148,0,0,0
"C124",0.0377964473009227,-0.016366943883081,0,-0.0290157350887399,0,0.0541319839218508
"C125",0.0377964473009227,-0.010353838394741,0,-0.0387011779872079,0,0.0252145380796919
"C126",0.0377964473009227,-0.0220081161015379,0,-0.035645161709771,0,0.0883069858656455
"C127",0.0377964473009227,0.00223778648299257,0.055060238795121,0,0,0
"C128",0.0377964473009227,-0.0113176708624589,0,-0.0381941170708329,0,-0.0593380675866217
"C129",0.0377964473009227,0.00239712900128528,0.0505664447087299,0,0,0
"C130",0.0377964473009227,0.00279347348554133,0.0606053031778339,0,0,0
"C131",0.0377964473009227,0.0550457219261685,-0.0371810195706247,0,0,0
"C132",0.0377964473009227,0.0179242276333763,0.0461279119881845,0,0,0
"C133",0.0377964473009227,0.0108744544516549,0.0374120132731893,0,0,0
"C134",0.0377964473009227,0.0179335132020196,0.0391984960134352,0,0,0
"C135",0.0377964473009227,0.000239861924040147,0.0557287728069858,0,0,0
"C136",0.0377964473009227,0.0659204338414963,-0.08779338005857,0,0,0
"C137",0.0377964473009227,0.0160956459492048,0.0367554490379433,0,0,0
"C138",0.0377964473009227,0.0154364423627825,0.0525234253031636,0,0,0
"C139",0.0377964473009227,-0.0508283078415408,0,0.00977924236774353,0.19743589574385,0
"C140",0.0377964473009227,-0.0334991243136366,0,-0.0244349114516471,0,-0.0435441654504323
"C141",0.0377964473009227,-0.0209375464124868,0,-0.0393321613535065,0,0.062926340657494
"C142",0.0377964473009227,-0.030650940222058,0,-0.0191851356060039,0,-0.0877054293153783
"C143",0.0377964473009227,0.0018955909728873,0.063978533570412,0,0,0
"C144",0.0377964473009227,0.0636268771965734,-0.103877980367383,0,0,0
"C145",0.0377964473009227,-0.0389073660288826,0,-0.0143526145052449,0,-0.0743523997962799
"C146",0.0377964473009227,0.0377626631062138,-0.00102048600088548,0,0,0
"C147",0.0377964473009227,-0.037267628668287,0,-0.0344998642855218,0,0.00953741703857945
"C148",0.0377964473009227,0.0227064031311189,0.0237936661242399,0,0,0
"C149",0.0377964473009227,-0.0481055767819169,0,0.0152496494055401,0.252690607244852,0
"C150",0.0377964473009227,0.0664726346243586,-0.106354616642481,0,0,0
"C151",0.0377964473009227,0.0204922709070954,0.0418577902044919,0,0,0
"C152",0.0377964473009227,-0.0242934894328705,0,-0.00926088843236176,0,0.126481683553424
"C153",0.0377964473009227,0.0133498062898421,0.0405596444972505,0,0,0
"C154",0.0377964473009227,0.0557476000981716,-0.0402861747949599,0,0,0
"C155",0.0377964473009227,0.0482401738212994,-0.0203392319758505,0,0,0
"C156",0.0377964473009227,-0.0499955939914897,0,0.0207546842797384,-0.0522474866685038,0
"C157",0.0377964473009227,-0.0629129245274357,0,0.135530118567272,-0.00105501331748436,0
"C158",0.0377964473009227,-0.0215244974770078,0,-0.0374327457996855,0,0.0379411649482958
"C159",0.0377964473009227,0.0426521822122765,-0.0141993646982558,0,0,0
"C160",0.0377964473009227,0.0514255674721521,-0.029396830438377,0,0,0
"C161",0.0377964473009227,-0.0259529032975047,0,-0.00562534616384421,0,0.107279668933629
"C162",0.0377964473009227,-0.00687944435454668,0,-0.0375319458349533,0,0.0383433693194689
"C163",0.0377964473009227,-0.0359969134992604,0,-0.0172173420970055,0,-0.0874562793757759
"C164",0.0377964473009227,-0.0291855017918521,0,-0.0295029382280938,0,0.00820481617558404
"C165",0.0377964473009227,0.0238562765672156,0.0403774265935385,0,0,0
"C166",0.0377964473009227,-0.0418315277008798,0,-0.0102669034207948,0,-0.0295124539086313
"C167",0.0377964473009227,-0.0107988639842061,0,-0.037217815241345,0,-0.0730627544105057
"C168",0.0377964473009227,0.0447464342320671,-0.0253201848750107,0,0,0
"C169",0.0377964473009227,0.0454988640855698,-0.0149036973085893,0,0,0
"C170",0.0377964473009227,0.0175313166778258,0.0371037460329728,0,0,0
"C171",0.0377964473009227,-0.0466022790624686,0,-0.00872037104921721,0,-0.0231892665987033
"C172",0.0377964473009227,-0.0689638557529345,0,0.134469640368213,-0.0048020075790427,0
"C173",0.0377964473009227,-0.0247232524410122,0,-0.00465222746092643,0,0.106273413674698
"C174",0.0377964473009227,0.0231609769818085,0.0403058408282755,0,0,0
"C175",0.0377964473009227,0.0548444529375435,-0.0629270389483427,0,0,0
"C176",0.0377964473009227,0.0119398206524273,0.0504338050442028,0,0,0
"C177",0.0377964473009227,-0.0622708857090002,0,0.143157632539207,-0.00368670694463423,0
"C178",0.0377964473009227,-0.0223357366768203,0,-0.0328647713663525,0,-0.0625467823205355
"C179",0.0377964473009227,-0.0333707636727409,0,-0.0268696964799263,0,-0.0240763871803822
"C180",0.0377964473009227,-0.0616517127519148,0,0.140414475384254,-0.0238188895668161,0
"C181",0.0377964473009227,0.00486394464796549,0.0532534366825863,0,0,0
"C182",0.0377964473009227,0.01919939928775,0.0438225628688076,0,0,0
"C183",0.0377964473009227,-0.0277180592830458,0,-0.0126307138519592,0,0.0934471046839069
"C184",0.0377964473009227,-0.0645030421000658,0,0.0935752932519861,-0.00283389316511883,0
"C185",0.0377964473009227,0.0162605531906375,0.0394924810752044,0,0,0
"C186",0.0377964473009227,0.0449680546923716,-0.0270720909738562,0,0,0
"C187",0.0377964473009227,-0.0455075099093821,0,-0.00629839103463727,0,-0.0428055355863521
"C188",0.0377964473009227,0.0125757831193319,0.0442019874596033,0,0,0
"C189",0.0377964473009227,0.00783693906801669,0.0463885852506478,0,0,0
"C190",0.0377964473009227,-0.0232193324751562,0,-0.0276240150571754,0,0.0385422374260571
"C191",0.0377964473009227,0.0460847925931527,-0.00906076034583084,0,0,0
"C192",0.0377964473009227,0.0196499986564715,0.0431868007385865,0,0,0
"C193",0.0377964473009227,-0.0592274345209066,0,0.14655442664731,-0.0757169827624768,0
"C194",0.0377964473009227,-0.0338620505512862,0,-0.0310985446399867,0,-0.00170632152052033
"C195",0.0377964473009227,-0.0268026388376548,0,-0.0248473067345471,0,0.0872235713953936
"C196",0.0377964473009227,0.0224282776491478,0.0384282983269795,0,0,0
"C197",0.0377964473009227,0.0115882940183349,0.0440783867046075,0,0,0
"C198",0.0377964473009227,0.0666653373437497,-0.10679767526202,0,0,0
"C199",0.0377964473009227,0.064380305329109,-0.0776641744990956,0,0,0
"C200",0.0377964473009227,-0.0251258301620705,0,-0.0134927572026292,0,0.0833007550769574
"C201",0.0377964473009227,0.0134788345808003,0.0536598703699861,0,0,0
"C202",0.0377964473009227,0.0722776726332078,-0.0972357236253268,0,0,0
"C203",0.0377964473009227,-0.00418141360457287,0,-0.0413637758826771,0,0.0372060803333042
"C204",0.0377964473009227,-0.0293139074017072,0,-0.014496359887466,0,0.103992411497708
"C205",0.0377964473009227,0.0220865505078898,0.0423228126123162,0,0,0
"C206",0.0377964473009227,0.0070483928564814,0.0535955671974673,0,0,0
"C207",0.0377964473009227,0.00750496489877785,0.0491473138611858,0,0,0
"C208",0.0377964473009227,-0.0551401346021059,0,0.0476256149794814,0.153980039977898,0
"C209",0.0377964473009227,-0.0395702544628674,0,-0.00947612692862674,0,-0.0146987502086187
"C210",0.0377964473009227,-0.0204072601555974,0,-0.0264690890917283,0,0.0979122371087021
"C211",0.0377964473009227,0.0597527525304253,-0.0480744796441017,0,0,0
"C212",0.0377964473009227,0.0648545768991475,-0.115219882769628,0,0,0
"C213",0.0377964473009227,-0.0512475091684976,0,0.0128507798243616,0.149341870749025,0
"C214",0.0377964473009227,0.0135119221836452,0.0405948982473847,0,0,0
"C215",0.0377964473009227,-0.0135589901720483,0,-0.0434387694100565,0,-0.0641908107618647
"C216",0.0377964473009227,0.0178703265814958,0.0353423085220273,0,0,0
"C217",0.0377964473009227,-0.0289145303338887,0,-0.00514908684610142,0,0.10494894506076
"C218",0.0377964473009227,0.0617535232922415,-0.0872470579235679,0,0,0
"C219",0.0377964473009227,0.0582040727690446,-0.0935156416323102,0,0,0
"C220",0.0377964473009227,-0.01833314913363,0,-0.0400739428091109,0,-0.0353139813958881
"C221",0.0377964473009227,-0.0522629758186932,0,0.0249596997674704,0.0173112089308074,0
"C222",0.0377964473009227,-0.0290482491927434,0,-0.0251974553473236,0,0.0776622293062853
"C223",0.0377964473009227,0.00942213632654669,0.0513902100718931,0,0,0
"C224",0.0377964473009227,0.056697556072654,-0.0493835985492818,0,0,0
"C225",0.0377964473009227,-0.0205842177760626,0,-0.0308589708119674,0,-0.0733289690876785
"C226",0.0377964473009227,-0.0586595591205019,0,0.0518096263008486,0.0120831039799016,0
"C227",0.0377964473009227,-0.0397845739987179,0,-0.0220183903547247,0,-0.0154616021177326
"C228",0.0377964473009227,0.068962122538184,-0.110611396534143,0,0,0
"C229",0.0377964473009227,-0.0203149487659119,0,-0.0359121168256132,0,-0.069424304233263
"C230",0.0377964473009227,0.025282915842365,0.0231419951659603,0,0,0
"C231",0.0377964473009227,-0.0251766117805221,0,-0.009828290889132,0,0.0934221291755529
"C232",0.0377964473009227,0.0192186481281872,0.0285389304983273,0,0,0
"C233",0.0377964473009227,-0.0278408707507685,0,-0.00585997436807448,0,0.109286038673946
"C234",0.0377964473009227,-0.0094758086662791,0,-0.0341915467920215,0,-0.0779120191423348
"C235",0.0377964473009227,-0.0448989428852265,0,-0.0148640284928573,0,0.00197532520005995
"C236",0.0377964473009227,-0.0488724692931861,0,0.0204047203408837,0.00192032408049689,0
"C237",0.0377964473009227,-0.0592902059131007,0,0.124431733358917,-0.000551296172378643,0
"C238",0.0377964473009227,0.0603672406132015,-0.0779393153208948,0,0,0
"C239",0.0377964473009227,-0.0596860994822462,0,0.110693898084208,0.00169536830611563,0
"C240",0.0377964473009227,-0.0544881092255299,0,0.0401403325583679,0.203375114846033,0
"C241",0.0377964473009227,0.000367925556508702,0.0577459188659011,0,0,0
"C242",0.0377964473009227,-0.0354814912786832,0,-0.02637374327101,0,-0.0247055036424173
"C243",0.0377964473009227,-0.0505808651265857,0,0.0227336018539152,0.23363598757495,0
"C244",0.0377964473009227,0.0197062101806722,0.030584325044962,0,0,0
"C245",0.0377964473009227,-0.0523403314814349,0,0.0314279766822404,-0.0109202172452254,0
"C246",0.0377964473009227,-0.054938125087728,0,0.0392809479711287,0.161931482470276,0
"C247",0.0377964473009227,0.0680500430194405,-0.117726150043151,0,0,0
"C248",0.0377964473009227,-0.0252163895350634,0,-0.0345724671889877,0,-0.0572222209780045
"C249",0.0377964473009227,0.00348257273791798,0.0585342851372338,0,0,0
"C250",0.0377964473009227,-0.0586771710059252,0,0.0845792720925912,-0.00597590948386389,0
"C251",0.0377964473009227,0.011291215183202,0.055987468062563,0,0,0
"C252",0.0377964473009227,-0.0597787453982141,0,0.138033083708441,-0.0850919540924057,0
"C253",0.0377964473009227,-0.0395776835233533,0,-0.00362480535231447,0,-0.0363631146867933
"C254",0.0377964473009227,0.0143846156533028,0.039881578569374,0,0,0
"C255",0.0377964473009227,0.0165081446915941,0.0353480891939175,0,0,0
"C256",0.0377964473009227,-0.00705887473237222,0,-0.0428585915497621,0,-0.0727921896869087
"C257",0.0377964473009227,-0.0239600887522823,0,-0.0355136127218145,0,0.0664881676124065
"C258",0.0377964473009227,0.0323338403321167,0.0236713953510693,0,0,0
"C259",0.0377964473009227,0.0163705563085707,0.0296672222430616,0,0,0
"C260",0.0377964473009227,-0.0132980418518592,0,-0.0358438401853907,0,0.00659267997879495
"C261",0.0377964473009227,-0.0046721951410135,0,-0.0382661120182795,0,0.0138025452380488
"C262",0.0377964473009227,0.00428143582628232,0.0442461409108915,0,0,0
"C263",0.0377964473009227,0.0151460591762308,0.0428193547562913,0,0,0
"C264",0.0377964473009227,0.00886476391897773,0.0509020371877168,0,0,0
"C265",0.0377964473009227,-0.00551040898941542,0,-0.0443940832847288,0,-0.0137993747703281
"C266",0.0377964473009227,-0.0345570639476715,0,-0.0129530276326534,0,0.0633982486681826
"C267",0.0377964473009227,0.0394542206676418,-0.0130176916101623,0,0,0
"C268",0.0377964473009227,0.0165106575432314,0.0364152490966465,0,0,0
"C269",0.0377964473009227,0.00195419171873339,0.0605564804178433,0,0,0
"C270",0.0377964473009227,0.0412299714878803,0.00634602881643214,0,0,0
"C271",0.0377964473009227,0.0240772382007219,0.0214755249172809,0,0,0
"C272",0.0377964473009227,0.063943975066779,-0.0930182201480945,0,0,0
"C273",0.0377964473009227,0.0625393973893258,-0.0898602697991908,0,0,0
"C274",0.0377964473009227,0.0143295882387272,0.0409367400026185,0,0,0
"C275",0.0377964473009227,-0.0244087684758069,0,-0.00106549903909778,0,0.0791141829909194
"C276",0.0377964473009227,0.0194241139654249,0.0471267725903142,0,0,0
"C277",0.0377964473009227,0.0268102615558921,0.0326637560059089,0,0,0
"C278",0.0377964473009227,-0.0632148833940823,0,0.124599847068116,0.00330587796084292,0
"C279",0.0377964473009227,0.0192753518531639,0.0480842668092661,0,0,0
"C280",0.0377964473009227,-0.0611276927701154,0,0.137337485052872,-0.120585943897091,0
"C281",0.0377964473009227,0.0635236505487776,-0.099739931192042,0,0,0
"C282",0.0377964473009227,-0.0435694844190344,0,-0.0089230689083799,0,-0.00700389454297023
"C283",0.0377964473009227,-0.0198818693052924,0,-0.0272390654317465,0,0.0702862016364675
"C284",0.0377964473009227,0.0374928270543893,0.00868583930735708,0,0,0
"C285",0.0377964473009227,0.0147443258821616,0.0494592429655825,0,0,0
"C286",0.0377964473009227,-0.0153997418045949,0,-0.0404614456004022,0,0.042395665993648
"C287",0.0377964473009227,-0.011084142301682,0,-0.0367053943479896,0,0.0397524970730001
"C288",0.0377964473009227,-0.0628365467256382,0,0.0873074384242494,0.00620475471794539,0
"C289",0.0377964473009227,-0.00744543880536664,0,-0.0435657330872302,0,0.0272505722654339
"C290",0.0377964473009227,-0.0165669353095363,0,-0.0368286610818396,0,0.0542956153329069
"C291",0.0377964473009227,0.0265686035585133,0.01210537708756,0,0,0
"C292",0.0377964473009227,0.0137492552814552,0.0487334693724026,0,0,0
"C293",0.0377964473009227,-0.0330843601928943,0,-0.00771158642092415,0,0.088111981634657
"C294",0.0377964473009227,0.0174570807270926,0.0465062611644606,0,0,0
"C295",0.0377964473009227,-0.0608310300298269,0,0.0895641948954021,0.000972132200976847,0
"C296",0.0377964473009227,-0.00410962326534711,0,-0.0428486284528883,0,0.0113234627313317
"C297",0.0377964473009227,0.0131722088592831,0.0413671024722864,0,0,0
"C298",0.0377964473009227,0.0597835837463196,-0.0482143840226268,0,0,0
"C299",0.0377964473009227,0.0147411027922306,0.0309180359971095,0,0,0
"C300",0.0377964473009227,-0.0379417894377524,0,-0.00829946972661235,0,-0.0494952158638665
"C301",0.0377964473009227,-0.027654617981746,0,-0.0187505076641817,0,0.0961751387311196
"C302",0.0377964473009227,0.0644994065292031,-0.112208661737903,0,0,0
"C303",0.0377964473009227,-0.00231649263240556,0,-0.0360062179673428,0,0.0277037974107843
"C304",0.0377964473009227,0.000543328862242184,0.0528498177444976,0,0,0
"C305",0.0377964473009227,0.00549867037619346,0.0349385270466931,0,0,0
"C306",0.0377964473009227,-0.0304733391532693,0,-0.00816216878868691,0,0.0900587054505189
"C307",0.0377964473009227,0.0214573177527515,0.039908465995407,0,0,0
"C308",0.0377964473009227,-0.0603050605489673,0,0.146158808981154,-0.00265180928281444,0
"C309",0.0377964473009227,0.0484385946116166,-0.027139963324691,0,0,0
"C310",0.0377964473009227,0.0658518311183888,-0.0847655666638337,0,0,0
"C311",0.0377964473009227,-0.0259677036038898,0,-0.0256416887936093,0,-0.0420388174363845
"C312",0.0377964473009227,-0.0260491704225017,0,-0.00903137902944176,0,0.125018895663867
"C313",0.0377964473009227,-0.0326331014307313,0,-0.00391337676991668,0,0.107794407719574
"C314",0.0377964473009227,-0.0261049484438908,0,-0.00617858750245454,0,0.0980864595842416
"C315",0.0377964473009227,0.0500411874833589,-0.034339242136637,0,0,0
"C316",0.0377964473009227,0.058287977114036,-0.0638166327153434,0,0,0
"C317",0.0377964473009227,-0.0378035485006101,0,0.00604188101577516,-0.306102900773535,0
"C318",0.0377964473009227,-0.0161686488067425,0,-0.0131161051275537,0,0.118735478008206
"C319",0.0377964473009227,-0.0428923228693037,0,0.0108379945908846,0.188820224341608,0
"C320",0.0377964473009227,-0.0110216336795951,0,-0.0422295747206924,0,-0.0511272575379652
"C321",0.0377964473009227,-0.00783956075199325,0,-0.0316925698607642,0,0.00385317497577209
"C322",0.0377964473009227,0.0412334293283406,-0.00624433635779189,0,0,0
"C323",0.0377964473009227,0.0602825636540161,-0.0595872329833556,0,0,0
"C324",0.0377964473009227,-0.0167503185566714,0,-0.0422185881247034,0,0.037286165793886
"C325",0.0377964473009227,0.0440443559409226,0.00579743173069088,0,0,0
"C326",0.0377964473009227,-0.0331790415101535,0,-0.0119273791450343,0,0.104528654479222
"C327",0.0377964473009227,-0.0296004187130354,0,-0.0166635319650662,0,0.0972334881787616
"C328",0.0377964473009227,-0.0276672520397812,0,-0.0138676083109566,0,0.092460033140423
"C329",0.0377964473009227,-0.0572681280495112,0,0.0351364101240012,-0.00075536677270745,0
"C330",0.0377964473009227,0.0178059954124385,0.0422024793480118,0,0,0
"C331",0.0377964473009227,0.0536190369527653,-0.0334598994370405,0,0,0
"C332",0.0377964473009227,0.0177082068664304,0.0495328480754556,0,0,0
"C333",0.0377964473009227,0.0197558352057095,0.0373358741407732,0,0,0
"C334",0.0377964473009227,0.0443132676715471,-0.0124407161475461,0,0,0
"C335",0.0377964473009227,-0.00413429742534997,0,-0.0422688865150945,0,0.020988293428177
"C336",0.0377964473009227,0.0455248707334433,-0.0342855298109747,0,0,0
"C337",0.0377964473009227,0.0483513970714204,-0.032295884425243,0,0,0
