"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Raw0",-0.0401853850071057,0.0335918082555983,-0.048400580418787,-0.0513685901824895,-0.0208677608049155,-0.0123369534677777,-0.0632213619234137,-0.0712388090241533,-0.00595888171416296,-0.014998187194298
"Raw1",-0.0192313776102979,-0.00104992982945911,-0.0577085223949438,-0.029616267503693,-0.0257860472995818,-0.0106861375068762,0.0110019170383458,0.0175064517966571,-0.00169369180144904,-0.0213734618932588
"Raw2",-0.0408665964330852,0.00990752936508942,0.0340644372779607,-0.0406251736789218,0.0289247968308551,0.00689162552647777,0.0297046654276021,0.0361212176532816,-0.0624414684246619,-0.0176254868686154
"Raw3",0.0344862133839379,-0.00146711547258495,0.0872434443133666,-0.0681409443407855,0.0378002507410929,-0.0264964380103001,0.0789789621389092,-0.0443542185787736,-0.0105658089948938,0.0112966316154423
"Raw4",-0.028414317203589,-0.0914533564960484,-0.0306764318791099,-0.095656938592331,-0.0242198882323026,0.0550710421922698,0.0699565903190742,-0.0130572103060763,-0.010130120336012,0.0641753221831684
"Raw5",0.0226832036428605,0.0507969141262953,0.0235777320571866,-0.0461835199957122,-0.000786111379908997,0.0270170229036199,0.0221722009355866,0.00573093966245358,0.03510155799622,0.0201787657752366
"Raw6",-0.0253124091687698,-0.0471100456327976,0.0823989765424365,-0.066898449802526,-0.0420128284864586,-0.0444980768997721,-0.0837962030076541,-0.0761611599009239,0.0614347855586703,-0.0618144958686275
"Raw7",-0.0253603425435284,0.0147638905215302,0.0621121298152384,-0.01449038194985,0.030129764439316,-0.00723083532221618,-0.0201517344386408,0.0230019255673487,-0.0944536364531532,0.0347598045785799
"Raw8",0.00208991294410176,0.0483833805776374,0.107450299280083,0.0176317057424688,0.02001336114091,0.0245941019576299,-0.0527872297129884,0.0184489328845177,0.0119966471587706,0.0759643121196348
"Raw9",-0.00156798025033724,0.0884790214244549,-0.0120941114420842,-0.0281752262403384,0.042065360646981,-0.0114413622007487,-0.0074364766919556,0.0556929621725385,-0.0434151630766855,0.0189848590905833
"Raw10",0.0461253507446187,0.0262767798758844,0.0480946365926708,-0.0793885433855878,0.0705351238274396,-0.0665713495996405,0.0236090737800384,-0.0174596502633561,0.00182026858014876,0.0591845592426423
"Raw11",0.00549834118602284,-0.0486212919659649,0.00539746838054215,0.0562812744949364,-0.0134132020113395,-0.0136881549159319,-0.0226239299324227,-0.0285974984938219,0.00991080633937893,-0.056383533487374
"Raw12",0.0185355939783762,0.00493740570226309,-0.0382044946274686,-0.0707328027063469,-0.0256938892114915,0.0659019341522431,0.000147120297166318,0.0416206372008886,-0.0126163734759468,-0.053615682077271
"Raw13",0.097117288940927,0.102340615538403,0.00819005415524294,-0.0477278507719657,0.0219824546243664,0.0407944218365536,0.0576839687599279,0.0616189613418619,-0.0680381375897668,0.0447900269626918
"Raw14",0.0588359848635704,0.0140725448536389,-0.0579431687123455,0.00803626566929386,0.0490210980689382,0.0572702992715833,0.0450998485163088,0.0402372985637294,-0.0601971188118706,0.0635131858112872
"Raw15",0.0682645526561334,-0.00444050008216079,0.0360469475293145,0.0678422778542671,0.0277183905807075,0.0152474737308192,-0.0473061602875147,0.00695826289638056,-0.000717214838068526,0.0464410420283132
"Raw16",0.111746358905735,-0.0153875616728128,0.00677784868780803,-0.0304250016106708,0.0395924958193298,0.0448831162037821,0.0445749319162466,-0.00653305452170094,-0.0461545596810913,0.0979732027865793
"Raw17",0.00652196248961405,0.00149039717688482,-0.0356895545990562,0.0445485037638607,-0.0822699054071723,0.0484052363715156,0.0306048762790832,-0.0335793421054065,0.0386324797230684,3.6452611792467e-05
"Raw18",-0.0275605781555847,0.0645229105915993,-0.0195374966684672,-0.0276851745610896,-0.0911585898775867,0.0288135119876397,0.0185351966800863,-0.0480461831769319,0.0578159564308469,-0.105678274573302
"Raw19",-0.0844104156843711,0.0543714215261683,0.00675966188607533,-0.0166396769252428,-0.0657506507614138,0.0561013874662988,-0.0179083836965767,-0.0412001648002995,0.0172387827685032,-0.012950559160888
"Raw20",-0.0306387253588464,0.0285577188810339,-0.0669698527442252,0.0110793836220497,-0.00429526029942144,0.0116119486817619,-0.0513932905704791,0.0382917686204419,0.0442414287559104,0.00484384045916058
"Raw21",-0.00813951722012114,0.00725194244718007,-0.0921939247562616,-0.0631121270325731,0.0306007984654243,0.027915818564013,0.0445615233262156,0.0294437917256408,-0.035980139539709,-0.0228080625230661
"Raw22",-0.0151348222340836,0.00834962006969287,-0.00138872385809942,-0.0169496902911589,-0.00740164162156322,-0.00969108564953936,0.00161163030636839,-0.0676853046453622,-0.0169726058721791,0.0583472931669566
"Raw23",0.0654661070577362,0.0662208256728333,0.0172220670925576,-0.0291436168778467,0.0618426776302329,0.0415904870111139,-0.0455924552812469,0.0334069233476933,-0.0376711970111892,-0.0261634525548123
"Raw24",-0.0376774411093095,-0.0353478029797978,-0.0280289057110859,-0.0466942328308161,-0.0586869397241438,0.00262293072803402,-0.00974090825059681,0.0179726508642667,0.0400721470493754,-0.0674132359594464
"Raw25",0.0301399823560538,-0.0948582082443838,0.0591766434792132,-0.0369322987179307,-0.00625810459126419,-0.0212490607275903,-0.000770444802106359,-0.00403912557178282,-0.0232182108789909,0.0398736820241262
"Raw26",0.0114789701348905,0.0778917690975435,-0.0286208845414604,0.060651793859001,0.028081143719792,-0.0411564789988733,0.0111684444496961,-0.00580071629034536,0.0284642712068277,0.0467284725790234
"Raw27",0.0221777282422333,-0.0139098321692176,0.0284413736084293,-0.0272233933172579,0.0673173380359489,-0.0684561431185459,-0.0384983839620345,-0.0324204589507645,0.00416034231709998,0.0171685188518854
"Raw28",0.0473472818973289,0.00524177900961361,-0.0436794108543432,0.0215599700521947,0.0144813680444607,-0.0344901016390526,0.04914048547031,0.0752130243501771,-0.058750278082417,0.0529915544307871
"Raw29",0.0363257068043531,0.0524335375143095,0.0179284840002882,-0.0408915323742937,-0.0203656840681941,0.0892062280852944,0.054699772971053,-0.00962570129541818,-0.0184049947063513,-0.045776359553032
"Raw30",-0.0129679674948229,0.0259847842488321,-0.00106462712923394,0.0110331696511514,-0.0292735600798568,0.0389761065116362,-0.013717942268704,0.065959522403013,0.0113464642366338,0.00499191670868266
"Raw31",0.0822453797414433,0.0242916222738597,0.033431223010002,-0.0556072238596522,0.00842275212874796,-0.024477692859094,0.0895027460155771,0.024165022773841,-0.127566310504554,0.0818046643038716
