"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"Row27",0.0379049021789452,-0.00971591010426131,0,0.00621106369153811,0,0,0.0954216806724817,0,0,0,0,0,-0.102842467662048,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159741251624556,0,0,0,0
"Row28",0.0379049021789452,-0.0101848602889768,0,0.00823628890631594,0,0,0.0950835552310977,0,0,0,0,0,-0.0955027461971994,0,0,0,0,0,0,0,0,0,0,0,0,0.0147002640726897,0,0,0,0
"Row29",0.0379049021789452,-0.0112887334145973,0,0.00845451905574634,0,0,0.0967077206562191,0,0,0,0,0,-0.0910588299876145,0,0,0,0,0,0,0,0,0,0,0,0,0.0452103346732496,0,0,0,0
"Row30",0.0379049021789452,-0.0113108879768484,0,0.00840258951357125,0,0,0.096557814543522,0,0,0,0,0,-0.0905806997289785,0,0,0,0,0,0,0,0,0,0,0,0,0.0497101954555194,0,0,0,0
"Row31",0.0379049021789452,-0.0115686770414858,0,0.00831159262644871,0,0,0.0958834232867533,0,0,0,0,0,-0.0906635586015706,0,0,0,0,0,0,0,0,0,0,0,0,0.0520678753405063,0,0,0,0
"Row32",0.0379049021789452,-0.0130039794801347,0,0.00869701546950821,0,0,0.0961487026900949,0,0,0,0,0,-0.0785448341590771,0,0,0,0,0,0,0,0,0,0,0,0,0.0924258098834023,0,0,0,0
"Row33",0.0379049021789452,-0.0129872538342829,0,0.00885909593717908,0,0,0.0960803080247092,0,0,0,0,0,-0.0783780163763001,0,0,0,0,0,0,0,0,0,0,0,0,0.0921526330524722,0,0,0,0
"Row34",0.0379049021789452,-0.014213968340317,0,0.00865003928313764,0,0,0.0973933284007548,0,0,0,0,0,-0.072677049645458,0,0,0,0,0,0,0,0,0,0,0,0,0.115214026256261,0,0,0,0
"Row35",0.0379049021789452,-0.0149637380743288,0,0.00938760554897741,0,0,0.099452080144688,0,0,0,0,0,-0.0694768259611577,0,0,0,0,0,0,0,0,0,0,0,0,0.125348454552277,0,0,0,0
"Row36",0.0379049021789452,-0.0158370907957585,0,0.00940388392023851,0,0,0.100395122578296,0,0,0,0,0,-0.0605831163633458,0,0,0,0,0,0,0,0,0,0,0,0,0.151076407112908,0,0,0,0
"Row37",0.0379049021789452,-0.0159327469737264,0,0.0093187954198094,0,0,0.100732990752401,0,0,0,0,0,-0.0603302208153441,0,0,0,0,0,0,0,0,0,0,0,0,0.150888400825653,0,0,0,0
"Row38",0.0379049021789452,-0.0162152223678396,0,0.00895623983089265,0,0,0.101302504159495,0,0,0,0,0,-0.0580629477295781,0,0,0,0,0,0,0,0,0,0,0,0,0.153282519511109,0,0,0,0
