"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Raw0",0.0110443399012149,0.103041969110922,0.000728810280194994,0.0367952637338703,-0.0236802668586943,0.00834485376026796,-0.0211778332664082,0.0366173951168409,-0.0126171640518563,0.0122523144978323
"Raw1",-0.0185368169559239,-0.090271170220623,0.0268743105599443,0.0296647259930088,-0.0395884879560602,-0.0414036166264182,0.00643297952595928,0.0575801800646879,0.0148875745382862,-0.030704262789418
"Raw2",0.017935960180536,-0.00334799188389449,-0.0177956956336933,-0.0492096888669024,0.00329455282039075,0.0142563583863574,0.0230962760913612,0.0265192859738566,-0.00479569554675199,0.0442525388807203
"Raw3",-0.0935756330531763,-0.0117975480934885,-0.0225069819332485,0.0203840341496248,-0.0148187962693412,-0.0113606412851414,-0.0510599503135249,-0.0270348254226534,-0.0325720764621982,-0.0076142881725254
"Raw4",0.0552076385994432,0.00029767732522597,-0.0536417659353084,-0.0166397850352073,0.00104564604464419,-0.025366570233852,0.011770264582679,-0.0296070705717228,-0.103782037872283,0.12763978310042
"Raw5",-0.0384048566482295,-0.0657490495442963,-0.0326348290531766,0.0220748741626326,-0.0130436532085911,0.00891596208122803,0.00884210221343755,0.0688583482709015,-0.0115824544892974,0.0180363197097247
"Raw6",0.103306586712531,0.00661693840024286,0.0562381849666104,0.0301169966362042,-0.0159099804864771,0.0282698070260003,-0.0503358436110597,-0.0164645856146837,0.0470353468528725,0.0488100160859174
"Raw7",0.0246354372450509,-0.0752989205280008,0.00381565891841015,0.0831345947887305,0.04592826487324,-0.00889302729567571,0.00295435759643968,0.0696990844324201,-0.0398097421130545,-0.0595618061478383
"Raw8",-0.0582299236476699,0.0393540577351728,0.110225670499655,0.0491893238818972,0.0155277028502222,-0.0413453891230451,-0.0290872278600891,-0.0235212062358239,-0.0273944916596863,0.0217651126934644
"Raw9",-0.0611471858417442,-0.0175001527672203,0.0471373538583499,-0.0109880767907866,-0.0672840212242506,-0.0206988081004116,0.0206376159801981,0.0472759737182386,-0.0429434511941913,-0.0338865329089236
"Raw10",-0.00909444681555305,0.119881348289628,-0.00674781080528375,-0.0287001647251303,0.00176697208812588,0.0490501371081841,-0.099094995577599,-0.0122970681817898,-0.00721369961675531,0.0112245266487929
"Raw11",-0.0490943689653479,-0.0154789821161694,-0.0117220036982167,-0.0069501880025108,-0.0121276006485333,0.0432896840339705,-0.0294723277739583,-0.0240768298814561,-0.0137903589727515,-0.0076602107979764
"Raw12",-0.0238558868035813,0.0092479549802277,0.00958170166593514,0.0208258529243875,0.0525236099077002,0.0192331990924567,0.0341501629053421,0.0201545018593434,-0.0558411242476218,0.0421661644028636
"Raw13",-0.128502726015334,0.0890494939331875,-0.0173448264654575,0.011832199275016,-0.0493322243989009,-0.0286639195549131,0.00291636996897431,-0.0982834131971698,0.0550745764241044,-0.0516131861063113
"Raw14",-0.0200280846837429,0.0641951999911224,-0.0877634888395236,-0.0251757990486018,-0.0275335365306406,0.00107022606159344,-0.021915107062203,-0.0396402726664953,0.0280340626834442,0.0311631527672202
