"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"Raw0",0.00530351899689084,-0.11524035707112,0.0955435190033882,0.00987618911573955,-0.0375928138681997,0.0397615692405215,0.0159490959146735,0.0440957011079119,-0.0310089386764486,-0.0246684568964923,-0.00121090046237558,-0.015533646443999,0.00383169674052444,-0.0576089073518345,0.0229037548699848,0.0219067825972305,-0.0333194591132076,0.0544631895632889,-0.034881750416525,0.0703156155923274,-0.103498827057963,-0.0567965797615556,-0.0399577521397751,0.0553407801829524,-0.0263867076764193,-0.0305159019783668
"Raw1",-0.0194137634897077,0.0812210198374952,-0.108074402083033,0.0839180601839364,0.00881598205767372,-0.012092677744577,-0.0466106120714643,0.0107873077949636,0.0179880243903272,-0.0799963603225105,0.0560104059760271,-0.0196914468771132,0.00247496114193036,0.0377818307169968,-0.00095967783078868,-0.0112624383820449,-0.0145220844380235,0.0349154799198508,-0.00641021178814591,-0.0958525471366043,0.0453644832216896,0.054224910989301,-0.0472586787054867,0.0509182243065619,0.05781300656828,-0.0369799281831577
"Raw2",0.0158222000164997,0.0201537155730891,-0.00414154596764895,-0.014279054959391,-0.038872643657503,4.60911127978039e-05,-0.0372514762157773,0.0048135639133031,-0.00563864714892957,0.0594882213457829,0.046293167413211,-0.00433377798279714,0.00731945132373426,0.0332205312332969,-0.0454263019324273,-0.0311103282115791,0.00689007104367679,-0.0219192211676435,0.0773167056167801,-0.0148935045312958,0.0237618178741019,-0.0362884431622202,-0.00509627692902716,-0.00673388434984294,-0.00270494891046089,0.0171116402635729
"Raw3",-0.0990664602351861,0.0226698560814889,-0.0266467314869282,0.000439267724730622,-0.0158474220553494,-0.0224425339632548,0.0150636543103483,-0.0103318805097354,-0.0106347352595154,0.0301064706900521,0.0501313529541615,0.00139000919883636,-0.0213104299367248,0.00363155112647763,-0.0205789372728148,0.056594145770394,-0.0585369991264338,-0.0373014127729561,0.0236630430284476,0.0487983268953733,-0.0226208013610652,-0.0954283488048623,-0.0567091925780447,0.0427928691157697,-0.0550832468807145,0.0239334118496873
"Raw4",0.0511525814302631,0.000303461838799072,0.0321746193822262,-0.0180831835761646,-0.0476442447074727,-0.0409581203322739,-0.00693914845354788,3.06946104836887e-05,-0.0178653985065928,0.0676326588383367,-0.0464217131241103,0.013057443384946,-0.024725592675475,0.0602396828020981,0.0149632199802795,0.0337750779499545,-0.0380545759437287,0.0271801597362606,-0.00336351100092923,0.0149564373081776,-0.00328244917718301,0.0175927963830988,-0.0630777617414591,0.0683790150608453,0.0159638883674158,0.00800541193425524
"Raw5",-0.026946901336898,0.0557484221616884,-0.0450955948023163,0.032606556445507,0.00431293735433123,-0.0458520502069383,0.0139238155196415,0.015293970546287,-0.0154599582998263,-0.0387578234400889,-0.014356097065477,-0.0223144577810176,0.0167101867707367,0.0441038157029957,0.0312130662424982,0.0312723556151238,-0.0541200018227331,0.0167095406047393,-0.018515575382658,0.126765258022183,-0.115178523236527,0.0166228442513964,0.0463062505897053,-0.00267354632735628,0.0425445520431937,-0.0287415222766202
"Raw6",0.0825815089878898,-0.0144023551047042,-0.0101466329018925,0.0144152854586594,-0.0346445032955333,0.0638676229547305,-0.022808093014219,-0.00116441785243574,-0.0177635269651642,0.0443434052121364,-0.152650571699529,-0.0181503304484146,0.00167936779476238,-0.0663842279395569,0.0353238212088779,0.0350954224317819,-0.0479652919070438,0.0258114185431557,-0.0551938644183434,-0.0112941886715601,-0.00589763887973072,0.126648898212437,0.00121216513394723,-0.0183036143162427,0.0143028321567082,-0.0405841138035675
"Raw7",0.0212921082799262,0.0521495176810794,-0.0770797581221231,0.106161924975251,-0.0308972087444014,-0.038057902517779,0.0100247013652138,0.0521605052482267,-0.0432778605336241,-0.102698851455882,-0.0129233522714234,0.0177296824937052,-0.0231821312390178,0.00888852862500044,0.0181183163631758,0.0253567564640677,-0.00126765765157454,-0.0528949510676646,0.0623229463744833,-0.0585588382778455,0.0549788112949329,0.0716698303630225,-0.000445743873769955,-0.0496502228009197,0.0171699977174904,-0.0258683524616192
"Raw8",-0.0582586377748962,-0.046141818924022,-0.00839037802879264,0.0334047110693561,-0.0365845623617938,0.0858938314008554,-0.0195519780520434,-0.00785692450262056,0.0314103218267736,-0.00564869441735334,-0.0223031627454804,0.0642738200573069,-0.0623829377759106,-0.103844786571517,0.0661134362942908,-0.0600776571893729,0.0631020698917446,0.0670545298383046,-0.0118972683403138,-0.0189294929392302,0.0366181103708548,0.00338719877105738,0.0220632028202623,-0.0506878083673829,-0.019864739178013,-0.0383859375368099
"Raw9",-0.0626467703233168,0.0121783058975548,-0.0388538805634421,-0.0161468474545039,0.0533251510846046,0.0491112097959221,-0.0774931994551408,0.00808078303938415,-0.0435286129923777,-0.05673454321507,-0.0189758553821394,-0.000595822432284976,0.00529530238460302,0.0192016306026063,0.0197194349517815,0.104607885074096,-0.0967842247235601,0.0181402609447179,-0.043640227297073,0.0649236535795572,-0.0899701443435087,0.0423133102623262,0.0617096345809728,-0.0389728349224499,-0.00753305142917811,0.0426896903920379
"Raw10",-0.0172729375490577,-0.0755619150044692,0.0760710573703621,-0.091170874610246,0.0342279966638947,0.0767621881831874,0.013070339089989,-0.031338005168954,0.0201604506864557,0.0836494877889594,-0.0190933842629391,-0.0477864533908522,0.0577842764984924,-0.124167548011622,0.0444873765063056,-0.0299699335009043,-0.0110675602808965,0.0229314795487225,-0.0225227253354723,0.03423921091917,0.0271806896930944,-0.0243495737101545,0.00381221213997811,0.0351983913116117,0.0356157369917962,-0.0945450458411467
