"V1","V2"
"Raw0",0.0096975829973769,0.109128448731079
"Raw1",-0.00677172440229415,-0.0501283228872768
"Raw2",0.00708510388951377,0.00556625481875803
"Raw3",-0.0781426374308826,-0.0198594851650327
"Raw4",0.0707910632609048,-0.0111509499904614
"Raw5",-0.0666356640800705,-0.049106479902732
"Raw6",0.115329976600463,0.0441249316075811
"Raw7",0.0259922128461181,-0.0877638304366577
"Raw8",-0.0445403138921234,0.0291927319081195
"Raw9",-0.0429227454764144,-0.00105418680009968
"Raw10",-0.0118527365597064,0.127763595532971
"Raw11",-0.0507857148140759,-0.029532671656921
"Raw12",-0.031960901079747,-0.0066408786907901
"Raw13",-0.114176153530069,0.068999967955447
"Raw14",-0.0197687282865306,0.0752001377317065
"Raw15",-0.0184319831182711,-0.0516938085963647
"Raw16",-0.0479108614604959,0.0125135126003247
"Raw17",-0.0278296940299433,0.0411229301999855
"Raw18",-0.0072797207907607,0.0217184480058298
"Raw19",0.0198611913268354,0.0226799197490517
"Raw20",-0.0554832202031085,-0.00683025286246575
"Raw21",0.0105299756437322,0.0684847172184855
"Raw22",0.00117518710549094,0.0480596972574596
"Raw23",0.0724407684694815,-0.0201683861532764
"Raw24",0.0272966962640473,-0.0450900605478701
"Raw25",0.0207413090164784,-0.0289803665781685
"Raw26",-0.0144810181544741,0.0162638001423977
"Raw27",-0.0231979634786051,-0.0175708292482418
"Raw28",0.0153281158643539,0.0281607011811921
"Raw29",-0.017763838933895,0.0644048932053575
"Raw30",-0.00542387671527738,-0.0714308420677016
"Raw31",-0.0474693659374476,0.0403815554951596
"Raw32",-0.0141651390870537,-0.0464186392837266
"Raw33",-0.0863102148682128,-0.012524284232013
"Raw34",0.00675962361931708,0.0069884010271971
"Raw35",0.00926669228941994,-0.0141656894160496
"Raw36",-0.00347884414917029,-0.00408152219928377
"Raw37",-0.033888303043639,0.0185078424346987
"Raw38",0.0207607936894789,0.0646875006210984
"Raw39",-0.0129240185238928,0.0229373964067455
"Raw40",-0.0723403541930443,0.0434413721218343
"Raw41",0.0354955139600103,-0.0462969148993815
"Raw42",-0.101513725698125,0.0302062829948017
"Raw43",0.0377042755906589,0.0721566303797104
"Raw44",0.07034363342467,0.0164628573513501
"Raw45",-0.00870323139380185,0.00782759646512489
"Raw46",0.0311801445237334,0.0124507248770144
"Raw47",0.0992237098480981,0.0747494302076255
"Raw48",0.0198103780687566,-0.0301931100484281
"Raw49",0.0159833974030231,0.0216629796441263
"Raw50",-0.0596725492554027,0.0638417891838923
"Raw51",-0.0102106645187242,-0.011438745993141
"Raw52",-0.0767659424589689,-0.00503319544917606
"Raw53",-0.0537135543168948,-0.0240498335896281
"Raw54",-0.0418249583550542,0.0595067446020175
"Raw55",0.00408951589954962,0.021832234529538
"Raw56",-0.0106691002887499,0.0384706456911682
"Raw57",0.0828544725847221,0.0333260270098917
"Raw58",0.025126087931586,-0.0233319595124897
"Raw59",-0.0278055307914871,0.0666734943715827
"Raw60",-0.0248535782559568,-0.0275441101425098
"Raw61",0.0412285154395453,-0.0150639905073859
"Raw62",-0.0046206699843181,-0.0156704222222245
"Raw63",0.026215357148535,-0.017548902050351
"Raw64",0.032537217213094,0.00553588172915203
"Raw65",-0.00287718125897424,0.00249216814243038
"Raw66",-0.00934648164772308,0.0746639287127652
"Raw67",0.030972317885952,0.101284185467974
"Raw68",0.0278854492578703,0.0374566556244047
"Raw69",-0.0689109368906845,-0.0240827768767686
"Raw70",-0.105954646458822,-0.054578144691806
"Raw71",-0.0434033933657299,0.0247992283361223
"Raw72",-0.0376904988434038,0.0279664812397527
"Raw73",0.0804082391293965,-0.00457719599045636
"Raw74",-0.0102864121286422,0.0276072316199552
"Raw75",-0.0554811491405238,-0.110382790456675
"Raw76",0.0112619043329093,-0.0163151714488998
"Raw77",-0.00986492053547994,0.0362199812298938
"Raw78",-0.00740467019825796,-0.00275316226427428
"Raw79",0.0812507699356476,-0.0216420270749895
"Raw80",0.0219185631419641,-0.01272806678125
"Raw81",0.00626424533984926,0.0209381613231718
"Raw82",0.027621178662761,-0.0391458045882889
"Raw83",0.0417412210087094,0.0154740594941429
"Raw84",-0.0404717194948341,0.0390884659153664
"Raw85",-0.00195986319986565,-0.0475395473100227
"Raw86",-0.0197003739522235,-0.0127791655152043
"Raw87",-0.0530289080114889,0.0429458479864188
