"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"Raw0",0.00643742735873635,-0.111823319163945,0.0971988512121605,0.0240498843424858,-0.0277595262861592,0.0378327258847048,0.0024457410917616,0.0241925590168225,-0.023892869380038,-0.0134663215464945,-0.0235621386807642,0.0196770812222163,-0.0519214339831359,-0.0224311646832935,0.0330472104738448,-0.0446860100512247,0.0387426136405817,-0.034104001836264,0.0918108376905361,-0.104293431592072,-0.0015238317478255,0.00589563535467049,-0.0515222237596851,0.0506718620765416,-0.000359945804649943,-0.00260724353264095,0.0197097116517997,0.00975697086084455,0.0235836911123696
"Raw1",-0.0212755258178616,0.0936433418351034,-0.111280791564449,0.0667814783413372,0.0046294104748157,-0.0131409633482582,-0.0476670621477926,0.00549100123572142,0.0128855936509429,-0.082311222508739,-0.0236999199365237,0.00738339133988665,0.0455646045300084,-0.0471073574282941,-0.0060935414555596,-0.00433263287847624,0.0240323354280406,-0.00137659958474357,-0.0562658793209025,0.0532415286587961,0.0798079679908011,-0.0900334173672373,-0.0156765932764602,0.0274723079891969,0.0220534165299006,-0.0169861381758372,0.0108642941706558,-0.00312344733730372,-0.0631121427763322
"Raw2",0.0133991155236245,0.0137182869230693,3.84847035434503e-06,-0.026604705344972,-0.029625533961837,-0.00210970879098258,-0.0408984525759444,0.0127709980821894,0.00328094253273417,0.0593835974651084,0.00669678167400518,-0.00316601153432412,0.0383464335882244,-0.0341897394693018,-0.0230848662961908,0.0177243791510781,-0.0659061374788591,0.0857897297776415,-0.014825867989523,-0.00354741814248462,-0.0150697879252366,0.0289426525452482,-8.23932332927555e-06,-0.000328529967399935,-0.0331964375152165,0.0231577759892796,0.00261150875004947,-0.00916256029819657,0.0799614554398702
"Raw3",-0.0986319542215939,0.0240306514521819,-0.0260258369107482,-0.00518696830240461,-0.0277916438861327,-0.0229221882557464,0.0136853970278965,-0.0122644428195391,-0.00431755006652199,0.0349881701993273,0.00094912152938334,-0.0119880537356381,-0.00295358937106951,-0.0413544757672619,0.0385392128534632,-0.0495000867311877,-0.0267291888559798,0.0204288981524259,0.0405687777056553,0.024043567819576,0.0658153724293692,-0.0587595434561426,-0.052901723555154,0.0344373254129508,-0.0772074523248534,0.0571620873804328,0.037173102515417,0.0770188433123044,0.0141865188003526
"Raw4",0.0508897512874285,-0.00226134272780026,0.0290053641605945,-0.0162957706443139,-0.044528991324874,-0.0452641839380817,0.000505445226558735,0.00188469725959881,-0.0260314126547373,0.0600465572456915,0.0173661841392095,-0.0176233421062169,0.0565191441720205,-0.0164844227597689,0.0452031143347753,-0.0597661035542955,0.05169802471485,-0.00936549803074805,-0.0338269175088123,-0.0222814455367886,-0.0110072135731878,0.0331887666315711,-0.0515512071290653,0.0631932182493949,0.0257422200962219,-0.00811410497548882,0.0666066079908459,-0.0414292349514144,-0.0532950957776732
"Raw5",-0.0244348411754343,0.0612341007019662,-0.0477419531960591,0.0261383431386301,-0.00325016708178506,-0.0481853624073787,0.0310651791774339,0.0168176852572916,-0.0191264286146222,-0.0203992526203907,-0.010686730650133,0.0157669233085872,0.0376691339978054,0.0925584975275121,0.0255197017986984,-0.0613332145018168,0.0264237631619561,-0.0254703053077242,0.127289726022374,-0.116519863837578,-0.0447370422550197,0.0649070441757152,0.0302505083124029,-0.00906499286984288,0.0475427427987778,-0.0452186580127222,0.0763623229639694,-0.055706061063263,-0.0381229820648256
"Raw6",0.0853103106897658,-0.00962362594873043,-0.00999240609997427,0.0199932366289014,-0.0476226913716883,0.0583149755243332,-0.0107396213861163,-0.00380023318153023,-0.0149925718733956,0.0277990685364821,-0.0101839155988729,0.00158895739994605,-0.069387165558702,-0.0605120677568235,0.0425350211871127,-0.0442311291158545,0.0157746730727415,-0.067467408611649,-0.000418723283536969,-0.0158365647627201,0.0180523691824756,-0.00320489612634124,0.0256882351686139,-0.0484786437483667,0.0399498376723609,-0.0335142778929571,0.0128561461754007,0.0627052709481918,-0.0166317540447855
"Raw7",0.0198017042332556,0.0639436540664366,-0.0767032117222347,0.0948810087452026,-0.0236927175268521,-0.033222862108266,0.000393736722359446,0.0482759192457652,-0.0442847296175207,-0.102309427384364,0.0275531465447429,-0.0293418628555269,0.0385248765104566,0.0388750110297769,0.00233948219466978,-0.00599081827158314,-0.0696418732782332,0.0780173532316097,-0.0388766343755685,0.0694234394980235,-0.0107151306740079,-0.0204723910879343,-0.00572191404267218,-0.0152347493350221,0.0132436164020968,-0.00570599745840821,-0.00840280140057519,0.0435523176984195,-0.0366756571620852
"Raw8",-0.0571707953496145,-0.0415126552676921,-0.0085154947504532,0.0428885580151236,-0.0265733389565584,0.0903217040293905,-0.00952234809063785,-0.00867439754899633,0.0170150788536567,-0.0288508469274738,0.0574058023348191,-0.0768089170310984,-0.0984166975422088,0.0275647028594126,-0.0688986558266952,0.0582100923756628,0.0724098446323047,-0.0406190243559227,-0.0404329949430985,0.0395297878504736,0.0909451479832639,-0.0966837933954619,-0.00154142003940698,-0.0510549289717763,0.0103331491366215,-0.0172461225419021,0.0154042304886801,0.072407229366364,0.0111326045291528
"Raw9",-0.0602376161478427,0.0133266116840818,-0.036612581440473,-0.0220276405074097,0.0572182885057294,0.0458943292161106,-0.0799097960574945,0.0294391447442176,-0.0471733012809194,-0.0286817095709375,-6.04215930393977e-05,0.00272218855009272,0.0162993307452992,0.0985643769392662,0.0846777985145474,-0.100252715148617,0.0182895259459198,-0.0286415335548506,0.068073337276548,-0.0698176953300606,-0.0217299810858383,0.0534226132833881,0.0652946739427372,-0.045795313957946,-0.0377240623800658,0.0524044726701402,0.0720434033598161,-0.041154289145868,-0.00470661192060184
"Raw10",-0.014241308174729,-0.0890571984731033,0.0774909664071242,-0.0707809435775203,0.0206869127455456,0.074084191924315,0.0187142593093243,-0.0189662350559263,0.0191005360900637,0.0859136293459306,-0.0492738319760228,0.0594835997426656,-0.13684273974785,0.0436822924535716,-0.047758075545184,0.0369603849497117,0.00997994152801889,-0.00234622041148242,0.0292209113659047,0.0203848050513559,-0.0864655680590305,0.0905865181359257,-0.0122561534253791,0.0336805111358845,0.0514174576652167,-0.0937722450636934,0.0065093994108109,-0.0409518542349407,0.0344250770831536
"Raw11",-0.0458207572404904,0.0124436632361268,-0.00431261316135163,0.00497495956990334,0.00618221267462618,-0.0335775498022741,0.0290554265144367,-0.012100568340477,0.0126690577205713,-0.0144999850567325,-0.0434695062683069,0.0369014561035892,0.0204807935520212,-0.0678785774270901,0.0323536208364701,-0.0168391676527381,-0.0703205801379447,0.088740075540398,0.0264891806997853,-0.0388184919108872,-0.0118191583355084,-0.0140329945996503,-0.0465641977066475,0.0204275628343353,0.0301354492906785,-0.00770965206843718,-0.0209758126087113,0.0153840087336849,-0.0400065446114391
"Raw12",-0.0179344005433515,-0.0172695614295511,0.010870130114395,0.0202373092232795,-0.0363263177351503,0.0204337361197132,-0.0799123243644533,0.0418489831147962,-0.0385382610992898,0.00540297865337664,0.0503678396089041,-0.0272065731721255,0.0661812759840041,-0.0171215252764476,-0.0605256768946075,0.0516969815390191,0.033256637182797,-0.0174185438848618,-0.0377200204245703,0.0270261880055868,0.014265151086784,-0.016504587522241,-0.0619968949079636,0.0543695850093117,0.0460757821203173,-0.010033649037096,-0.0050318045841984,0.00196666028576761,-0.0786346866067676
"Raw13",-0.133149728714244,-0.0989138599858289,0.0805778978888765,-0.0154579376684009,0.0212134076740036,0.0203302102797588,-0.0364211364236159,-0.11333187986246,0.0974465430155752,-0.00340509266700686,-0.00909040414241598,0.00318593420605004,0.00287749516186091,-0.0803114633404636,0.091392174594899,-0.106109943173513,-0.00675187370764927,0.000126993929774996,-0.0550551130959078,0.06331171116503,0.00834486947744054,0.00396314006483999,-0.0527704443503095,0.0565913057071093,0.00746750875680108,-0.0188725863351266,0.0445929333551986,0.0076545410271126,0.0233692520862638
"Raw14",-0.0321725596085159,-0.0609868704392385,0.103825734026573,-0.0604787178024195,-0.00859552173509651,-0.0869525954358861,0.0960575575413754,-0.0578942545122895,0.0385806790414786,0.0783521387220595,-0.0250738588058377,0.00270633971379187,0.00792327362397172,0.0107845637911096,0.0316771553369679,-0.0872949730455464,0.0257989614451422,-0.0586697481956477,0.0140573476649061,-0.00458258402258307,0.0220065668848937,-0.0365268873895025,-0.0214775632715864,-0.0163591562236866,-0.035190059964452,0.0248761671027212,0.113481538177188,0.098869343743661,0.0545945598775655
