"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"Raw0",0.0390263232137199,-0.11211957875935,0.0967933097743552,0.0239182032853719,-0.027707152958487,0.03809833642548,0.00237764466462533,0.0241277824899305,-0.0238365752599052,-0.0133241756743199,-0.0235343851813126,0.019666908090694,-0.0519369381595019,0.0330555029562602,-0.0447035549700456,0.0387499205948148,-0.0341144406488237,0.0918566283590084,-0.104303553856856,-0.00152668695398409,0.00592694607952825,-0.0515084400756183,0.05067180141049,-0.00036731818728361,-0.00244760769103759,0.0197375695311546,0.00973897544228002,0.036712619233444
"Raw1",0.0206633780856407,0.093663106983114,-0.111208601511243,0.0668507586678291,0.00465652940951468,-0.0135461007628712,-0.0475631462710663,0.00554575163179872,0.0128471678364919,-0.0823705227596865,-0.0237426585173303,0.00739346544650159,0.0459591269874006,-0.00611012353251746,-0.00429727437937401,0.0240365279457562,-0.00137085854200351,-0.0563009259767903,0.0532524455379695,0.0798181484427904,-0.0900558353164209,-0.0156877068696605,0.027478956892452,0.0219370841317053,-0.0174258479348162,0.0108209994743879,-0.00312744526756616,-0.0557429435906067
"Raw2",0.0432078226589325,0.0139029478486843,0.000172957249558493,-0.0265509850920926,-0.0296720552747296,-0.00203667800756687,-0.0411205381307583,0.0127761157638123,0.00326940924672062,0.0593345262752264,0.00669686126567935,-0.00316854041770201,0.0381170087086292,-0.0230737195533645,0.017707431648922,-0.0659133964182994,0.0857935267092174,-0.0148287197670301,-0.00355151932248438,-0.0150769419525994,0.0289384812100563,-9.98669351021046e-06,-0.000333001911640806,-0.0327961905186261,0.0234698110283953,0.00262237647998166,-0.0091489188727937,0.0881534535921812
"Raw3",-0.0299266345791058,0.0242738812067054,-0.0257234053694331,-0.0051166587240933,-0.0278368559888776,-0.0229282625675287,0.0136528002359551,-0.0122645473898684,-0.00433075174329191,0.0349047948465131,0.000931130954613278,-0.0119934778755758,-0.00289137374869098,0.0385481657548118,-0.0495100416035973,-0.0267382191285461,0.0204342386225489,0.0405540034040205,0.0240438660447769,0.0658105665208561,-0.0587711128981972,-0.052907199831821,0.0344335452133027,-0.0773532567930318,0.0571041325375546,0.0371747980042197,0.0770349834872806,0.0302204003896121
"Raw4",0.0678203249431171,-0.00228049312531464,0.0291409338710029,-0.0163062945209667,-0.0445549850438069,-0.0451557233162424,0.000201765743820052,0.00187860284669677,-0.0260305494197172,0.0600642576404556,0.017380920330213,-0.0176305740712937,0.0568282879150143,0.0452038989808806,-0.0597638068315554,0.0516999989479688,-0.0093667869487346,-0.0338123487235457,-0.0222907053830212,-0.0110040424238743,0.0331860763648428,-0.0515491399222745,0.0631916244188386,0.0252629648546523,-0.00886252625707714,0.0666039101307411,-0.0414283994655271,-0.0472803427424661
"Raw5",0.0184919582294308,0.0614306839803104,-0.0473597069878231,0.0262302927204511,-0.00325717486291432,-0.0482972368904226,0.0311167750054765,0.0168410021331292,-0.0191534946438839,-0.0204931155928656,-0.0106928443252567,0.0157711669782322,0.0376148443867205,0.0255241486207652,-0.0613289250901445,0.0264183438299327,-0.0254637983579897,0.127261320452005,-0.116513885294711,-0.0447400310142856,0.0648891289739099,0.0302429703797986,-0.00906752773562836,0.0474248571059475,-0.0456211527937779,0.0763468115158856,-0.0556906979990536,-0.0397406856118448
"Raw6",0.0904914083360547,-0.00994711271588353,-0.0105098550620159,0.0199024606368755,-0.0476001339281363,0.0581514775520363,-0.0104893227197068,-0.00379972150078235,-0.0149828184382583,0.0279086487058834,-0.0101897053358402,0.00159815656557735,-0.0690015301231968,0.0425162558156877,-0.0441999070301689,0.0157891336892898,-0.0674737836943935,-0.000388968800966954,-0.0158453918092193,0.0180592347441147,-0.00319275357407115,0.0256913508416645,-0.0484698593344349,0.0396787547503846,-0.0336315156198912,0.0128358547671391,0.062678182579042,-0.0103781241688941
"Raw7",0.0474842782950282,0.0639268811449671,-0.0765634872963914,0.0949359391992084,-0.0236454091421955,-0.0335094251170763,0.000427387838366043,0.0483077895923943,-0.0443090012707036,-0.102343225875071,0.0275333440142878,-0.0293297982317192,0.0386649525492263,0.00233078119220528,-0.00596848797284518,-0.0696370497642215,0.0780207041482318,-0.0389034229679147,0.0694320511921086,-0.0107018168732681,-0.020495169965022,-0.00573101037857828,-0.0152301004851189,0.0131690773120586,-0.00596450939178311,-0.0084351914044406,0.0435507728502594,-0.038521124873245
"Raw8",-0.00291562806210066,-0.0412261643665259,-0.00856989709953956,0.042946751551623,-0.0265793395980127,0.0904174639041465,-0.00907629574318193,-0.008709150070973,0.0170367470711101,-0.0289161231177457,0.0573745914908042,-0.0768129792431913,-0.0982105485831954,-0.0688732453738975,0.0581664148054823,0.0723936558482248,-0.0406151151053633,-0.0404429091803906,0.0395277384712238,0.0909311186278142,-0.0966819701841903,-0.00154556412030348,-0.051057544109687,0.0100776306378583,-0.0171312686897475,0.0154381567247746,0.0724257086643937,0.000157476636960719
"Raw9",-0.00494050661593754,0.0136528864895453,-0.0365069635612539,-0.0219306685935648,0.0572026467015252,0.0458853293351602,-0.0798523384654055,0.0294243302125636,-0.0471832764544105,-0.0287959807014501,-7.45710685577247e-05,0.00272683664810608,0.0166862975414292,0.084700585716534,-0.100281418005631,0.0182754092189646,-0.0286354369355966,0.0680414645610129,-0.0698096402482454,-0.0217446010737479,0.0534153348139348,0.0652888780919341,-0.0457998653640496,-0.0377549236275259,0.0523553952193993,0.0720616777429827,-0.0411336352845269,0.0152621360028917
"Raw10",0.0252596952498071,-0.0889403896550157,0.077318188342569,-0.07081318472744,0.0206545054142292,0.0744030689134885,0.0187980147829734,-0.0190181840588869,0.0191353754583066,0.0859382902850014,-0.0492491244003117,0.0594806766293379,-0.137631516303441,-0.0477334223659714,0.0369127800649684,0.00996912492636304,-0.00234881766462113,0.0292413915327312,0.0203753910335162,-0.0864891762304237,0.090616874107084,-0.0122468039003385,0.0336725981315764,0.052064356025143,-0.0928532788704152,0.00656207682785653,-0.0409405321399632,0.0393057554359244
"Raw11",0.00453104096593447,0.0126775369398002,-0.00395329182281622,0.00504084964370506,0.00616214473895891,-0.0335141469629069,0.0289541451059071,-0.0121049296823097,0.0126603950624742,-0.0145847798695346,-0.0434739701794747,0.0368961943795474,0.0203094052034185,0.0323625740459891,-0.0168525108257936,-0.0703303206529538,0.0887449844185951,0.0264703439762843,-0.03881497625031,-0.0118281035896475,-0.0140360985627414,-0.0465667403447493,0.0204204535049841,0.0300949039938348,-0.00783567955426006,-0.0209694345133953,0.0154027461909715,-0.041615927817626
"Raw12",0.0230959375659792,-0.0175528679848408,0.0105140037197405,0.0201659362422835,-0.0362922779660336,0.0203830639505952,-0.0799975505745114,0.0418521042283386,-0.0385268136643457,0.00550969583631731,0.0503818363739199,-0.0271961329796203,0.0670808474556766,-0.0605329765234362,0.0517090877286116,0.0332689996640746,-0.0174244237274317,-0.0376953690757223,0.0270192086284933,0.0142793342447964,-0.0165036004383878,-0.0619931724843338,0.054374888439268,0.0453767346958353,-0.0109871947410939,-0.00503896151732165,0.00194745082258094,-0.0876397178497943
"Raw13",-0.0524517235076539,-0.0986125502551487,0.0807448366761041,-0.015460893676912,0.021175109301854,0.0207567144206935,-0.036746087006059,-0.113413409234841,0.0974892772471729,-0.00346762747372843,-0.00907742545809757,0.00316479757864204,0.00229309042269994,0.0914157904905828,-0.10615594518259,-0.00677145663035589,0.000128955821912642,-0.0550528299733399,0.0633104050832655,0.00832437255323321,0.00397846854241992,-0.0527639920137589,0.0565797975514813,0.00799353321105757,-0.0183060866062186,0.0446433402381079,0.00767784158772758,0.0078373431899454
"Raw14",0.013393439260694,-0.0606406514228548,0.104465496082803,-0.0604450259452608,-0.00867303276486359,-0.0864304130293759,0.0956495037385734,-0.0579490957230676,0.0386032581671798,0.078275714449188,-0.0250538939374461,0.00266978928507073,0.00725581637075417,0.0317074542632633,-0.087343386496302,0.0257792931331651,-0.0586665647786035,0.0140641588497466,-0.00458683933118728,0.0219907185050678,-0.0365181663649468,-0.0214718289229357,-0.0163751848347829,-0.0351772936740126,0.0249315397625503,0.113527120330637,0.098898886696815,0.0664740321621026
"Raw15",0.00530949364683449,0.00229430399512258,-0.0296624707564598,0.0644293503728295,-0.0686882934255026,0.0131267264524784,-0.0302204556746874,0.0137519308805157,-0.0411572294778205,-0.0305662931232339,-0.0649283210874229,0.0892875208566815,0.000637347637286565,0.0233204864091181,-0.057001495450841,0.0388451714246923,-0.0107615235635064,0.0389069270333635,-0.0248706734957049,-0.000904259786605325,0.0344015922414179,0.0409791719987878,-0.0164338793158535,0.0330023021122709,-0.032340021592383,0.0793793211863359,0.00851285133564622,0.0018105764317156
"Raw16",0.0100185957132586,0.000950066631924499,-0.00453339583745985,0.0234823140383537,-0.0495701606639814,-0.0159446510467929,0.0153808069911748,-0.0290500041151135,0.0355767623445357,0.0148656351117934,0.0252820496685057,-0.0208354238702748,-0.0134239772848952,-0.00222452021780821,0.00380943402003558,-0.0294554643584176,0.00654386907286595,-0.00273010595831364,0.00512602332689774,0.0456843052056975,-0.0325006149379575,0.0510110304597497,-0.0429173374887222,0.0119267811832975,-0.0137124721730223,0.00749776475005451,0.000900157462451607,0.00128472404515569
"Raw17",0.0126163561888881,-0.0275281545846593,0.0221233399192701,-0.0678691637599276,0.0387528346581867,0.0508945276344848,-0.0251858311300789,0.00116145067441614,0.00306889352130839,0.0438323830709965,-0.0370511086051703,0.0295034162141562,-0.0386635874971084,-0.0557243186550748,0.0766548595233932,0.0590761028714637,-0.0449026016110585,-0.0054835601310615,-0.017248615247349,0.00446491363728607,-0.030955452960395,-0.0151114936037013,0.0318353226026266,-0.0179582971175315,0.00661591932213423,-0.0643434773642809,-0.0243200487918538,-0.0502201909201214
"Raw18",0.0407963285235568,0.00714396297630085,0.0201785951125378,-0.0946893724855549,0.0803180705131916,-0.00983299595662231,0.0239692857484887,-0.0291806894559666,0.0348815520330447,0.0555774399973603,0.0183002055605449,-0.0348828319135457,0.000579343904433818,-0.0157429377046633,-0.013255674060827,0.0322684197144655,-0.0313783442045569,0.0106603672000839,-0.0104640165359905,-0.0243602495338456,0.00504496230074012,-0.0844581485703786,0.050168758546779,0.0174191073338935,-0.0142039235855415,0.0625705042803488,0.0897610480184779,0.000895373565671098
"Raw19",0.0465063758386048,-0.0611351782769938,0.046501607663682,0.0279292606192426,-0.0712391760495358,0.0375199398262765,-0.0267464437576323,-0.0220699644495692,0.00652482575779472,0.0232192344434919,0.0440023932328339,-0.0277965291136536,-0.0110595998208557,-0.0512091051127445,0.026413838709101,0.00419724935882367,-0.0244498114937778,0.0328953951169613,-0.0589671361215882,0.0227533722626136,-0.0063253616181543,-0.0439005204937846,0.0698333595150742,-0.00414544229356208,-0.0115669823968651,0.0429659987346224,-0.0429279941460889,0.0379615009417773
"Raw20",0.00546160765708215,0.00340356443677857,0.0096524313451227,0.0648518291978615,-0.00971747416456005,-0.0853465188705172,0.0560907890030644,-0.0678070789206947,0.0747721530181749,-0.0601426520799672,0.0148503030482448,-0.0239907434501909,0.032889636284682,0.0400120333429867,-0.0573016310254269,-0.0643894016441766,0.0860064047299741,0.0111292219832806,-0.00227750855243069,0.0233815118021759,-0.0614075878555397,0.0155052742273385,-0.0304833591583049,0.00909242605796718,-0.0172662192057307,0.0170924754775892,0.0499216753952264,0.0244988107843986
"Raw21",0.0600132646572184,-0.0467236686457264,0.0373545837314792,-0.00725569412025179,0.0452739848527251,0.0427541379732798,0.0362867319336975,-0.0124517906771398,0.0258830837566795,-0.0249859451777986,0.0714084611413363,-0.0753351011181366,-0.0677686441599059,-0.0350962421428017,0.0190578219289875,-0.0387694575996786,0.0408818446684439,-0.0284107963253984,0.0313169657530998,0.0384504730707176,-0.0331649603910516,-0.0041981004486066,0.0173490504802116,0.0390605316944959,0.0232049510827984,0.0295388905871895,-0.0235882029871095,-0.104278235398033
"Raw22",0.0583683592537331,-0.0539843150293671,0.0370384763853796,0.0405194975667663,0.00431232923791123,0.0457930890783992,-0.050401866534654,-0.0451623064244593,0.051796108151888,-0.0385778752163903,-0.0497107564994718,0.0679587114451868,0.00899604687272023,0.0563547281138901,-0.0432553015010385,-0.0650047427482768,0.0566417627337463,-0.00420211712899029,0.012509866564187,0.0464169738491504,-0.0345438264969591,0.0202543110986517,0.0261826980055624,-0.057647044015192,0.0833934786234105,-0.00134246709003482,-0.114465888790548,-0.0857315227644004
"Raw23",0.0776990964544739,0.0511715968847295,-0.038535969564053,0.00803901553607729,-0.000888777689272936,-0.0226236477570601,-0.0206764105275027,0.00211465493118773,0.00476143754520324,0.00104451330592536,0.0743482271961288,-0.0712875362040861,0.043637421073199,-0.0433682716925977,0.0432388247526284,-0.0310526793269468,0.0337064828462222,0.0391040367770258,-0.0459068226014969,-0.026580173435494,0.0229204990595043,-0.012975795891653,0.0434749634046252,0.0297744693292049,-0.00529377000603706,-0.0184223680835283,-0.070660830517,-0.0148584469289382
