"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Raw0",0.0417265159490677,0.103105328651188,0.000732391508429589,0.0368179100222074,-0.0225456855182593,0.0089812007393026,-0.0206670666173447,0.0383622188827425,-0.0114665516631568,0.0125381380106772,0.0264629329861413,-0.00267263697544789,-0.0182327159259043,0.0404277551212863,-0.0517535223488002,-0.0295135570171174
"Raw1",0.0240323468200757,-0.0902377961261761,0.0268941172729149,0.0296694131933797,-0.0386371755961023,-0.0410260797426772,0.00686773394279577,0.0585112144908254,0.0157229018040287,-0.0306215267956268,0.0486148439247712,-0.0108339054064663,-0.0386628145485462,-0.0113644194562206,-0.0654423454071584,-0.0261219345323768
"Raw2",0.04633192667111,-0.00331001357492872,-0.0177886067461025,-0.0492093590502149,0.00363782064512067,0.0144607901014905,0.0231514314517667,0.0273243084581739,-0.00426933192861448,0.0441747901764929,0.0278723151863055,0.021733083926934,0.0323258059079121,0.0446021392669418,-0.0111365967130668,0.0114059695120938
"Raw3",-0.0215356077242609,-0.0117958947011156,-0.0224915991234715,0.0204103448468501,-0.0136185571167847,-0.0106929668373556,-0.0505299435418622,-0.0255727236439531,-0.0318228558906906,-0.00708920577249239,0.0229534910794407,-0.0100217153707766,0.0133145846282153,-0.00925712529929465,0.0309298234152727,-0.0166328715512376
"Raw4",0.0686308676649297,0.000347137336502225,-0.0536302219629446,-0.0166311383867322,0.0018216800328032,-0.0250374680159978,0.0120011326300554,-0.0274853757371608,-0.103090579563586,0.127974642610281,0.061701674446221,0.00736537896356717,0.0147963212389692,0.108665988061637,0.0985545617234608,-0.00853058526446124
"Raw5",0.0127965905676498,-0.0657674386138026,-0.0326344223681672,0.0220583143706556,-0.0137326750051774,0.00846309444143652,0.00859749311914585,0.0684197663455051,-0.0117456483914544,0.0175107116729084,0.0279533492211907,-0.0366475065594482,0.0498941905806402,0.00245254097034761,-0.0341024078521552,-0.00369432304397368
"Raw6",0.0976385455479668,0.00668261014425218,0.0562500521700157,0.0301231378536557,-0.0152844421274395,0.0285927021769399,-0.0499386020907278,-0.0153376673207189,0.0478843679386556,0.0488857575348287,0.0741738373988964,-0.0271280094508359,-0.00868723937204087,0.038689853000642,-0.00745446076113003,0.084366849477236
"Raw7",0.050576079774755,-0.0753158879102343,0.00382407517374142,0.0831283080931783,0.0459425362630955,-0.00879741642495971,0.00283601844074467,0.0693470035241255,-0.0401178463477025,-0.059772224347426,-0.0597038628738254,0.025814087192525,-0.00814888192450088,-0.0795123267766907,-0.0288425630259853,-0.0327475296117039
"Raw8",0.000733831132967352,0.0393314005378006,0.110212108567359,0.0491895263261493,0.0149813681028469,-0.041729279684743,-0.0292766511633003,-0.0235663512684328,-0.0275653154151642,0.0219392605287794,-0.00804025827603335,-0.0235718237678196,-0.0225238110346639,0.0145921171488422,-0.0340234677807587,-0.0664499255724262
"Raw9",-0.00115405551259202,-0.017512786009346,0.047133256160486,-0.0109869569558442,-0.0672877581938358,-0.0207949172916285,0.0208026486135102,0.0468461819688664,-0.0432709373790012,-0.0341517200770256,0.00702614469537953,0.0572357651522726,-0.0758465122538842,-0.0855397187674033,-0.0702867371370752,-0.0313690501809608
