"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"Raw0",0.0417265159490677,0.101560159448843,-0.101207481301649,0.00425031262283694,-0.0023821864072561,0.0277060620054803,-0.0289830487815008,-0.0262504515725089,0.0126565658834657,-0.0267449601198731,-0.00314187579892985,0.0444462202398315,-0.0179654942745268,-0.00658974112127364,0.00163751010929002
"Raw1",0.0240323468200757,-0.096346170047283,0.0872079987367557,0.0201207984865027,-0.0294555020104719,0.0394369850895981,-0.0353299654020144,-0.0165945784188742,-0.0218565837363334,0.00838946690126343,-0.0268030007429464,0.0431867859692929,0.00277114219371997,0.0386026890639606,-0.0450433286241701
"Raw2",0.04633192667111,0.00661580716545102,0.0148803047351231,-0.0179295460103101,0.0161432556902529,-0.0462466619801481,0.0498682679678313,-0.00410545231841606,0.00707224156042283,0.0215127303949673,-0.016508794835927,0.0310973935971792,-0.0142342067799258,-0.0313472763928293,0.0352661034064782
"Raw3",-0.0215356077242609,-0.0231604718252586,-0.00325094696096112,-0.0215828381518804,0.0273324790909537,0.0198133496525366,-0.0187718633175707,-0.0207419368337373,0.000323998740395043,-0.0267485486232631,0.0534379887875516,-0.00877213536928091,-0.016382857067046,0.00413497723075802,0.0020958972303707
"Raw4",0.0686308676649297,0.00769732255804859,0.00567199894067887,-0.0549335725192956,0.0509410405880946,-0.0175206438400348,0.0136598180591002,-0.00167853050087224,-0.0234764614368508,0.0140258536731578,-0.0127483189080546,0.025188055833165,-0.0916446093223144,-0.126892841804677,0.122441463472172
"Raw5",0.0127965905676498,-0.0607825145089958,0.0681117707221795,-0.0353066908297646,0.0327502648968179,0.0308221037424654,-0.0251010670319531,-0.0205797808508901,0.00882306643906056,0.0238136190253334,0.00171793851415105,0.0629303275322891,-0.027267279719369,0.00513428764907416,0.00315091691333823
"Raw6",0.0976385455479668,0.0123862127597586,0.00286697091380932,0.0571889957853393,-0.0539229459330533,0.0326810965691857,-0.0277588669289959,-0.0388051431008331,0.0260001996950972,-0.0667075335373155,0.0222224456583025,-0.0277365206250228,0.0359951528748826,-0.0321632366799726,0.0554742346800598
"Raw7",0.050576079774755,-0.0740127747266396,0.0667381221629179,0.00262198515435307,-0.000268117401521914,0.089814592087426,-0.0887680521527072,0.0454782054147571,-0.0185687928208782,-0.000693080793671226,0.0163505615488635,0.045817179467246,-0.0494186754415184,0.0676081138857633,-0.0736508087000477
"Raw8",0.000733831132967352,0.0239181346354542,-0.049363898827822,0.111921261787557,-0.107174667930554,0.0431151115818928,-0.048011512225773,0.0207552296578009,-0.0331834417567634,-0.0307417975806856,0.0482423158710653,0.0093851781722459,-0.0158566580996753,-0.0443918173833304,0.0156668725352665
"Raw9",-0.00115405551259202,-0.0317537927061214,0.00702952450305743,0.0420858512699607,-0.0528636965391427,-0.0103888783789526,0.0123161923690166,-0.024273956791315,0.00407991051281302,0.016123503610199,-0.0599617312301564,0.0469726176969365,-0.0414044434416894,0.0534116772319583,-0.0339789306540978
"Raw10",0.0303677687370374,0.116527855894192,-0.118136288607545,0.00123817995880892,0.0127376810866976,-0.0391358541581142,0.041532074731343,-0.0296781790356875,0.0417473641510417,-0.10902913159068,0.0610502674131723,-0.0147632760952859,-0.00310922435946693,0.00971625260664897,0.0274734192208232
"Raw11",0.00548654304560226,-0.0118141675531234,0.0121581213149499,-0.0107786732228338,0.0144097760364598,-0.00690831475795731,0.00450949383753847,-0.0290896742848441,0.0379277651248331,-0.0258114614140693,0.019840858236618,-0.0168551487327669,-0.00527511498943847,-0.00453823986181632,-0.00424415286754696
"Raw12",0.0206520101687972,0.00925016298755313,-0.0071350215213602,0.0120314576379111,-0.00852595331989805,0.0198027103805461,-0.0217520003057426,0.0649447104728686,0.00209731940538287,0.0201754784254225,-0.0155986731994743,0.0414030318360278,-0.0554557517422547,-0.0429861409944156,0.0291342825697708
"Raw13",-0.0428237140874808,0.0735575547355863,-0.109583310528619,-0.0164148360434637,0.0132945671226953,-0.00168533822112026,-0.00530933233621991,-0.0221376232965633,-0.00531386932715788,0.0183189023733852,-0.018038012807697,-0.0766148829785002,0.0837711499940973,0.0161536700056777,-0.0263243291054325
"Raw14",0.023538101338388,0.0608295295388938,-0.0628430542591737,-0.0847904455852205,0.0881832753200781,-0.0327463548468001,0.0272553407103392,-0.040261447704888,0.00975369083604786,0.00790555249983246,0.0259336322686992,-0.00700284814547878,0.0356953053468925,-0.0610838681949761,0.0254879580367765
"Raw15",0.0107142418019926,-0.032571638745579,0.00449858971187793,-0.0136606539176007,0.0149045709570717,0.0805580931028647,-0.0839334541340244,-0.0584263156916035,0.0951675106510169,-0.0267933967293779,-0.0220502824640719,0.0388617949385132,-0.0978761249609868,-0.0179867588379435,0.0207040213827883
