"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"Raw0",-0.0515485806818996,0.00473209724991735,-0.00792509679648308,-0.0524055161234964,0.041640261207222,-0.0542995930228443,0.0592096383240094,0.0311386004699661,-0.0281526976074303,-0.0611309363869022,0.043563106507377,-0.0109546644334572,0.0469019292284458,-0.022925692277248,0.00320187705131239,-0.0434778097736321,0.0342916020002661,0.0251691003450745,-0.026921668890054,0.0040218075135553
"Raw1",-0.0494302547492874,-0.0613910316829764,0.0555942951428187,0.116221575737395,-0.110610134359312,-0.0514585357052419,0.0614927593511145,0.00708378014518072,-0.0279634362767664,-0.00816241136438008,0.0250840333651325,0.065684169382823,-0.0397611129921999,0.0254530790434042,-0.00102036827432334,-0.00644694520100064,0.104353742167524,-0.15142329469533,-0.0621237227159556,0.0496005122970556
"Raw2",0.0551179980970058,-0.0795365076490967,0.0902893304258871,-0.0404057624065631,0.0248038873648659,-0.00541467322646117,0.00314433492543822,-0.0564753945787907,0.0881935614916168,-0.00834830840069025,-0.0291121809416787,-0.00148029209209449,-0.0135651888337897,0.0026500813185393,-0.00590117472050164,0.0293657681943092,-0.111181967626288,0.0622655411136961,0.0352425896722491,-0.0452306904917154
"Raw3",-0.0819202505762269,0.0165628026447818,-0.0347201026215464,0.044638348487273,-0.0478871458050654,-0.0311250410483529,0.0310277086061481,0.00205574261611289,0.00659252015553213,0.011074123611594,-0.0219346771854912,-0.0280771358221657,0.0491817376066196,0.0114178119932255,-0.0356103557806882,0.0156433616640153,0.0102304133182922,-0.020400435320683,0.0109130155120966,-0.0302129599268683
"Raw4",-0.0319887724364886,-0.0834971754506784,0.0689178493225504,-0.0773583128314701,0.0681456075097717,-0.0739118917144205,0.061329166598593,-0.0542373865645492,0.0292722573877301,-0.0508155757164975,0.0374196516605551,-0.0133005019357394,-0.00280209737736792,0.0241686670292453,-0.0245789208211111,0.0319632935576234,0.0225411100593518,0.0449958221114451,0.00771586333632348,0.0201192081839181
"Raw5",0.0223477593074846,-0.00416149672072693,0.0137583360219882,0.0141430750325097,0.00557474758850296,-0.00829271948451442,0.010526452549407,0.00826714071790445,0.00477825440518854,0.00737129810886065,0.00567171987280398,0.0415222085797458,-0.0519506826175368,0.0277893125010847,-0.0111527574594894,-0.0094001415749273,-0.0399338603203425,0.0176077831775474,0.00222978437480496,-0.0221720557537758
"Raw6",0.0135907296969834,0.0717686935169103,-0.0600749321017578,0.0287156141324537,-0.0185708415457879,-0.0261945078875306,0.0315320298553209,0.00488785540718145,0.0192997461402606,0.0742114267202329,-0.0548133838231451,-0.0623920838832048,0.0408194988244812,-0.0188579458317744,0.0587983894610358,0.0198791526555899,-0.0768695458878712,0.054677653187223,-0.00880276742754755,0.075370632812126
"Raw7",-0.0276528788427733,-0.027821591360909,0.0144946968519956,-0.0212701838928859,0.00886494197833092,-0.0673118576772119,0.0610264420188921,-0.0750512445247589,0.0503786544067142,0.053327385876652,-0.0531466038880136,0.0152554853877051,-0.0534721695930836,-0.0611802918561531,0.0601993169406863,-0.0018870934720018,0.047789674295097,-0.108044154559208,0.0342508881358422,-0.0542313619202725
"Raw8",-0.0216828910750861,0.0707659147503458,-0.0721376784472893,-0.0163715568931469,0.00389821009298196,-0.0646615550785086,0.0652690517089538,0.0348152499436395,-0.030651479548549,-0.0229523343648457,0.0256877729104815,0.0124261558267328,0.00306210677549313,-0.050644139488096,0.0599018635144551,0.0116911797427071,0.000205401180979501,-0.0287967424351377,-0.00691183992128097,-0.00780244709432323
"Raw9",0.00160575335685468,0.0019351715564663,0.00251228086070552,-0.0671309385060836,0.0463660745536991,-0.0024287941642472,0.0087316569678713,-0.00232893992036714,-0.00366464369777537,0.0451316588419239,-0.0432486084063686,0.062134503687249,-0.0658479040434636,0.0288742647334224,-0.00671925423920313,0.0293817137418039,-0.0642224211826824,0.0758560135300306,-0.0333636138542742,-0.0273022376513403
