"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"Raw0",-0.0515485806818996,0.00680199651183351,-0.0479838464525412,-0.0566906769029963,0.0254237651138408,-0.0184342954177311,-0.0627015202984454,0.0158669271619669,-0.0178082137723042,-0.0107377946592644,-0.0811281215650235,0.0275104798093013,-0.0272685528091423,-0.0248511988415387,-0.0217798563694603,-0.0531429590412988,-0.0470528521124168,-0.0667919216995441,0.0635270530867683,-0.0156425636146867
"Raw1",-0.0494302547492874,-0.0550275906192313,0.119607438243433,-0.058383108854549,0.0219626589091313,-0.00751740030501647,-0.00185940807634094,-0.0107755979252766,0.0646800200569437,0.0278085841837994,-0.00666874020079547,0.128387363766347,-0.020236598020406,-0.0234624768178089,-0.0495534317098784,0.0142221363229575,-0.0439389963095217,-0.00687824070638514,0.00656646766996155,-0.0159582062219948
"Raw2",0.0551179980970058,-0.0871486099462537,-0.0294545647632753,-0.00799086682289715,-0.0569570330509065,0.0524504904066796,-0.0298301021640526,0.000542585589818214,0.000524863159917298,0.00296535675020891,0.0763318906806582,-0.130024639777043,0.0429958566697855,0.105754851136532,0.0190915165341366,-0.00718987315918345,0.046458824516919,0.00751770697029421,-0.0143997372443928,0.0126884883754982
"Raw3",-0.0819202505762269,0.0284300711131869,0.0458218114600799,-0.0299785044171211,-0.0304545836438867,-0.00740956322389215,0.00736763131894572,-0.0197238479243624,-0.0428249145625429,0.00342862977145372,-0.00519346199902022,-0.00336155009718833,0.0417973060383667,-0.043349844479506,0.00801727330921763,-0.0213510696222726,-0.0856427239727093,0.0155511954092396,0.0136710680597204,0.0241294902911268
"Raw4",-0.0319887724364886,-0.0774098326360662,-0.0667910571621438,-0.0711759217662239,-0.0430829288327089,0.00764428952443166,-0.0761837601987689,-0.0521581749996703,-0.0295205565033184,-0.0142470338691375,0.0308144029970381,-0.0197319282476127,-0.0506990638059467,-0.0215584017573426,-0.00244754300328774,0.0251249367145901,-0.00731268354168586,0.0137024573980741,0.0131315709679064,0.0614006556221505
"Raw5",0.0223477593074846,-0.00974716909174483,0.00589843643662175,-0.00955505989019033,0.0354563531296557,0.0196671525293581,0.0259732183354691,-0.0171425912216106,0.0436282731961032,0.028871824446648,0.0107536068595136,-0.0220568283711017,-0.00272231589465935,0.004770116226798,0.0191036638496394,0.0270008018402485,0.0199436674050622,-0.0654164949390484,-0.0420075059758805,-0.00462450292676631
"Raw6",0.0135907296969834,0.0668055966196068,0.0188486976642617,-0.0258933632963719,-0.00136410168457272,0.0145324153800589,0.0852306675213388,0.0713403987355294,-0.0377057340049627,0.00879936789499674,0.0349678176508525,-0.0691057091485732,0.0540531337657801,-0.0118287635905517,-0.0128820337878033,-0.0106038926525681,0.023368815432213,0.0659887395838765,-0.0329503328768239,-0.072722690960725
"Raw7",-0.0276528788427733,-0.0198260709178353,-0.0136839245436746,-0.0657613164027039,-0.0979685759307247,0.0271577088606166,0.021537969353474,-0.00411591582546529,0.0211084322184583,-0.0737965937203785,-0.0137027404512317,0.0345663538156155,-0.0138310001618625,-0.0173087214083034,0.00963337950976101,0.0268184349044559,0.0323861948131936,-0.00902848232774272,-0.0871277265112262,-0.00756060519447446
"Raw8",-0.0216828910750861,0.0731451678483156,-0.0163396813615882,-0.0622504180179246,0.0185446067087887,-0.035991420357945,-0.0278410629874113,0.0321755631660515,0.0177190259481721,-0.0344835283177221,-0.0065378713709065,0.00305499667211441,0.0167587692081526,-0.00807586828436941,-0.0109232401808593,-0.0263774959450944,-0.0172296282052358,0.037013924652863,0.00209788007092358,-0.0746067326281604
"Raw9",0.00160575335685468,-0.00123665337675756,-0.0595922289009727,-0.00462128510191891,-0.0456840202260832,-0.0280144485826439,0.0160597834518617,-0.0260530201946558,0.0615181088709891,0.038136687001952,0.0102608261117276,-0.0832229396024112,0.0201424360872129,0.0715868059509848,-0.055443794696035,-0.00681725600249832,0.0316281993844063,-0.00912822774293079,-0.0168866410997924,-0.0530408025999442
"Raw10",0.026291652814657,-0.0204221055298902,-0.0202161934134663,0.0239456456547915,-0.0314578263022157,0.0265755372725877,0.0757752240271083,0.00701995045096829,0.0233574540193044,0.0245658324650796,-0.0242753898485652,0.0133428083805651,0.0623734347369106,-0.0114952164325434,0.044896573686808,-0.0225175014351805,0.00545145210976079,0.0477709179484871,-0.0179113786211689,-0.0330171792248214
"Raw11",-0.123624188643205,-0.0399918702879078,0.0080601178669902,0.0103083921158829,0.0515583034407086,-0.0307211681657196,-0.074786261804681,-0.0107743770525182,-0.00211059875001085,-0.0288418379693865,-0.0490779294008896,-0.000926311798911578,-0.073697766368141,-0.0919866265836347,0.00327334746776944,0.00122666774271888,0.00423395525499442,-0.0218565538065765,-0.00411140234758062,-0.0763701535752678
"Raw12",0.00778361278549816,0.0570863144009042,0.0138519007713461,-0.0843712470912786,-0.0331660397362611,0.025652770463939,-0.0196168509956607,0.0349000503130253,-0.017834562915036,0.0479471245278614,0.148334210367363,-0.0640204096535623,-0.0533204489154851,0.0434520528278173,0.0688695003291002,0.0688622878566339,-0.0243072140440948,-0.00427504334136858,0.00772055477428159,-0.0275618525481774
"Raw13",0.0379059447968219,-0.0422386432128588,-0.0237120788252057,-0.0662113564615826,0.0627370612325821,-0.00209424148120715,-0.0175280896598353,0.0254073874719861,0.047598271164645,-0.0336737699012033,-0.0220147795260963,0.00410407185411336,-0.00648437660190784,0.0115955439116555,0.0736636298361855,-0.0257906820404413,-0.0617190707431538,0.0184182126887724,0.0726260898579699,0.0389887827529552
